,Model,train_avg_precision,validation_avg_precision,train_F2,validation_F2,train_Recall,validation_Recall,train_Precision,validation_Precision,train_roc_auc,validation_roc_auc,train_brier_score,validation_brier_score,Parameters,train_val_ap_ratio
0,TC_DT_RF_SMOTE,0.3520210534007464,0.0649421132566768,0.43078209953994145,0.08914100486223663,0.5464190981432361,0.09401709401709402,0.2332955832389581,0.0738255033557047,0.9872760324506429,0.9140682656237631,0.0012898630908061042,0.002130075649339733,"{'cv': YearlyTemporalWindowSplit(end_year=2017, start_year=2001, val_window_size=2), 'ensemble': 'auto', 'estimator__memory': None, 'estimator__steps': [('DT', DewTempSpread(new_col='TMP-DEW')), ('TC', DatetimeSinCosConverter()), ('preprocessor', ColumnTransformer(transformers=[('feat_engin_temp_dew',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['TMP-DEW']),
                                ('feat_engin_time_features',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['sin_monthofyear', 'cos_monthofyear',
                                  'sin_hourofday', 'cos_hourofday']),
                                ('n...
                                                                      func=<function encode_binary at 0x195f4bd80>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])],
                  verbose_feature_names_out=False)), ('smote', SMOTE(random_state=42, sampling_strategy=0.3)), ('classifier', RandomForestClassifier(max_depth=10, min_samples_leaf=20, min_samples_split=50,
                       n_jobs=-1, random_state=42))], 'estimator__transform_input': None, 'estimator__verbose': False, 'estimator__DT': DewTempSpread(new_col='TMP-DEW'), 'estimator__TC': DatetimeSinCosConverter(), 'estimator__preprocessor': ColumnTransformer(transformers=[('feat_engin_temp_dew',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['TMP-DEW']),
                                ('feat_engin_time_features',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['sin_monthofyear', 'cos_monthofyear',
                                  'sin_hourofday', 'cos_hourofday']),
                                ('n...
                                                                      func=<function encode_binary at 0x195f4bd80>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])],
                  verbose_feature_names_out=False), 'estimator__smote': SMOTE(random_state=42, sampling_strategy=0.3), 'estimator__classifier': RandomForestClassifier(max_depth=10, min_samples_leaf=20, min_samples_split=50,
                       n_jobs=-1, random_state=42), 'estimator__DT__new_col': 'TMP-DEW', 'estimator__TC__column': 'DATE', 'estimator__TC__dayofyear': True, 'estimator__TC__hourofday': True, 'estimator__TC__monthofyear': True, 'estimator__preprocessor__force_int_remainder_cols': 'deprecated', 'estimator__preprocessor__n_jobs': None, 'estimator__preprocessor__remainder': 'drop', 'estimator__preprocessor__sparse_threshold': 0.3, 'estimator__preprocessor__transformer_weights': None, 'estimator__preprocessor__transformers': [('feat_engin_temp_dew', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['TMP-DEW']), ('feat_engin_time_features', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['sin_monthofyear', 'cos_monthofyear', 'sin_hourofday', 'cos_hourofday']), ('numeric_feature_pipeline', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['WND_direction_angle', 'WND_speed_rate', 'CIG_ceiling_height', 'VIS_distance', 'TMP_air_temperature', 'DEW_dew_point', 'SLP_sea_level_pressure']), ('binary_pipeline', Pipeline(steps=[('binary',
                 FunctionTransformer(feature_names_out='one-to-one',
                                     func=<function encode_binary at 0x195f4bd80>))]), ['CIG_cavok_code', 'VIS_variability_code']), ('nominal_pipeline', Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), ['WND_type_code']), ('passthrough_features', 'passthrough', ['WND_direction_angle_variable_wind_direction_flag']), ('drop_features', 'drop', ['DATE'])], 'estimator__preprocessor__verbose': False, 'estimator__preprocessor__verbose_feature_names_out': False, 'estimator__preprocessor__feat_engin_temp_dew': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'estimator__preprocessor__feat_engin_time_features': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'estimator__preprocessor__numeric_feature_pipeline': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'estimator__preprocessor__binary_pipeline': Pipeline(steps=[('binary',
                 FunctionTransformer(feature_names_out='one-to-one',
                                     func=<function encode_binary at 0x195f4bd80>))]), 'estimator__preprocessor__nominal_pipeline': Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), 'estimator__preprocessor__passthrough_features': 'passthrough', 'estimator__preprocessor__drop_features': 'drop', 'estimator__preprocessor__feat_engin_temp_dew__memory': None, 'estimator__preprocessor__feat_engin_temp_dew__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'estimator__preprocessor__feat_engin_temp_dew__transform_input': None, 'estimator__preprocessor__feat_engin_temp_dew__verbose': False, 'estimator__preprocessor__feat_engin_temp_dew__imputer': SimpleImputer(strategy='median'), 'estimator__preprocessor__feat_engin_temp_dew__scale': StandardScaler(), 'estimator__preprocessor__feat_engin_temp_dew__imputer__add_indicator': False, 'estimator__preprocessor__feat_engin_temp_dew__imputer__copy': True, 'estimator__preprocessor__feat_engin_temp_dew__imputer__fill_value': None, 'estimator__preprocessor__feat_engin_temp_dew__imputer__keep_empty_features': False, 'estimator__preprocessor__feat_engin_temp_dew__imputer__missing_values': nan, 'estimator__preprocessor__feat_engin_temp_dew__imputer__strategy': 'median', 'estimator__preprocessor__feat_engin_temp_dew__scale__copy': True, 'estimator__preprocessor__feat_engin_temp_dew__scale__with_mean': True, 'estimator__preprocessor__feat_engin_temp_dew__scale__with_std': True, 'estimator__preprocessor__feat_engin_time_features__memory': None, 'estimator__preprocessor__feat_engin_time_features__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'estimator__preprocessor__feat_engin_time_features__transform_input': None, 'estimator__preprocessor__feat_engin_time_features__verbose': False, 'estimator__preprocessor__feat_engin_time_features__imputer': SimpleImputer(strategy='median'), 'estimator__preprocessor__feat_engin_time_features__scale': StandardScaler(), 'estimator__preprocessor__feat_engin_time_features__imputer__add_indicator': False, 'estimator__preprocessor__feat_engin_time_features__imputer__copy': True, 'estimator__preprocessor__feat_engin_time_features__imputer__fill_value': None, 'estimator__preprocessor__feat_engin_time_features__imputer__keep_empty_features': False, 'estimator__preprocessor__feat_engin_time_features__imputer__missing_values': nan, 'estimator__preprocessor__feat_engin_time_features__imputer__strategy': 'median', 'estimator__preprocessor__feat_engin_time_features__scale__copy': True, 'estimator__preprocessor__feat_engin_time_features__scale__with_mean': True, 'estimator__preprocessor__feat_engin_time_features__scale__with_std': True, 'estimator__preprocessor__numeric_feature_pipeline__memory': None, 'estimator__preprocessor__numeric_feature_pipeline__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'estimator__preprocessor__numeric_feature_pipeline__transform_input': None, 'estimator__preprocessor__numeric_feature_pipeline__verbose': False, 'estimator__preprocessor__numeric_feature_pipeline__imputer': SimpleImputer(strategy='median'), 'estimator__preprocessor__numeric_feature_pipeline__scale': StandardScaler(), 'estimator__preprocessor__numeric_feature_pipeline__imputer__add_indicator': False, 'estimator__preprocessor__numeric_feature_pipeline__imputer__copy': True, 'estimator__preprocessor__numeric_feature_pipeline__imputer__fill_value': None, 'estimator__preprocessor__numeric_feature_pipeline__imputer__keep_empty_features': False, 'estimator__preprocessor__numeric_feature_pipeline__imputer__missing_values': nan, 'estimator__preprocessor__numeric_feature_pipeline__imputer__strategy': 'median', 'estimator__preprocessor__numeric_feature_pipeline__scale__copy': True, 'estimator__preprocessor__numeric_feature_pipeline__scale__with_mean': True, 'estimator__preprocessor__numeric_feature_pipeline__scale__with_std': True, 'estimator__preprocessor__binary_pipeline__memory': None, 'estimator__preprocessor__binary_pipeline__steps': [('binary', FunctionTransformer(feature_names_out='one-to-one',
                    func=<function encode_binary at 0x195f4bd80>))], 'estimator__preprocessor__binary_pipeline__transform_input': None, 'estimator__preprocessor__binary_pipeline__verbose': False, 'estimator__preprocessor__binary_pipeline__binary': FunctionTransformer(feature_names_out='one-to-one',
                    func=<function encode_binary at 0x195f4bd80>), 'estimator__preprocessor__binary_pipeline__binary__accept_sparse': False, 'estimator__preprocessor__binary_pipeline__binary__check_inverse': True, 'estimator__preprocessor__binary_pipeline__binary__feature_names_out': 'one-to-one', 'estimator__preprocessor__binary_pipeline__binary__func': <function encode_binary at 0x195f4bd80>, 'estimator__preprocessor__binary_pipeline__binary__inv_kw_args': None, 'estimator__preprocessor__binary_pipeline__binary__inverse_func': None, 'estimator__preprocessor__binary_pipeline__binary__kw_args': None, 'estimator__preprocessor__binary_pipeline__binary__validate': False, 'estimator__preprocessor__nominal_pipeline__memory': None, 'estimator__preprocessor__nominal_pipeline__steps': [('nominal', OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False))], 'estimator__preprocessor__nominal_pipeline__transform_input': None, 'estimator__preprocessor__nominal_pipeline__verbose': False, 'estimator__preprocessor__nominal_pipeline__nominal': OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False), 'estimator__preprocessor__nominal_pipeline__nominal__categories': 'auto', 'estimator__preprocessor__nominal_pipeline__nominal__drop': 'first', 'estimator__preprocessor__nominal_pipeline__nominal__dtype': <class 'numpy.float64'>, 'estimator__preprocessor__nominal_pipeline__nominal__feature_name_combiner': 'concat', 'estimator__preprocessor__nominal_pipeline__nominal__handle_unknown': 'ignore', 'estimator__preprocessor__nominal_pipeline__nominal__max_categories': None, 'estimator__preprocessor__nominal_pipeline__nominal__min_frequency': None, 'estimator__preprocessor__nominal_pipeline__nominal__sparse_output': False, 'estimator__smote__k_neighbors': 5, 'estimator__smote__random_state': 42, 'estimator__smote__sampling_strategy': 0.3, 'estimator__classifier__bootstrap': True, 'estimator__classifier__ccp_alpha': 0.0, 'estimator__classifier__class_weight': None, 'estimator__classifier__criterion': 'gini', 'estimator__classifier__max_depth': 10, 'estimator__classifier__max_features': 'sqrt', 'estimator__classifier__max_leaf_nodes': None, 'estimator__classifier__max_samples': None, 'estimator__classifier__min_impurity_decrease': 0.0, 'estimator__classifier__min_samples_leaf': 20, 'estimator__classifier__min_samples_split': 50, 'estimator__classifier__min_weight_fraction_leaf': 0.0, 'estimator__classifier__monotonic_cst': None, 'estimator__classifier__n_estimators': 100, 'estimator__classifier__n_jobs': -1, 'estimator__classifier__oob_score': False, 'estimator__classifier__random_state': 42, 'estimator__classifier__verbose': 0, 'estimator__classifier__warm_start': False, 'estimator': Pipeline(steps=[('DT', DewTempSpread(new_col='TMP-DEW')),
                ('TC', DatetimeSinCosConverter()),
                ('preprocessor',
                 ColumnTransformer(transformers=[('feat_engin_temp_dew',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scale',
                                                                   StandardScaler())]),
                                                  ['TMP-DEW']),
                                                 ('feat_engin_time_features',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')...
                                                  ['WND_type_code']),
                                                 ('passthrough_features',
                                                  'passthrough',
                                                  ['WND_direction_angle_variable_wind_direction_flag']),
                                                 ('drop_features', 'drop',
                                                  ['DATE'])],
                                   verbose_feature_names_out=False)),
                ('smote', SMOTE(random_state=42, sampling_strategy=0.3)),
                ('classifier',
                 RandomForestClassifier(max_depth=10, min_samples_leaf=20,
                                        min_samples_split=50, n_jobs=-1,
                                        random_state=42))]), 'method': 'isotonic', 'n_jobs': None}",5.4205358548992795
1,DROP_TC_DT_RF_SMOTE,0.34746895341719153,0.07100397148292764,0.4464470685726124,0.08237232289950576,0.5716180371352785,0.08547008547008547,0.23799006073992268,0.07194244604316546,0.9880560227680404,0.8981376676140643,0.0013145607676308504,0.0021309622538796544,"{'cv': YearlyTemporalWindowSplit(end_year=2017, start_year=2001, val_window_size=2), 'ensemble': 'auto', 'estimator__memory': None, 'estimator__steps': [('DT', DewTempSpread(new_col='TMP-DEW')), ('TC', DatetimeSinCosConverter()), ('preprocessor', ColumnTransformer(transformers=[('feat_engin_temp_dew',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['TMP-DEW']),
                                ('feat_engin_time_features',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['sin_monthofyear', 'cos_monthofyear',
                                  'sin_hourofday', 'cos_hourofday']),
                                ('n...
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('drop_features', 'drop', ['DATE']),
                                ('additional_drops', 'drop',
                                 ['CIG_cavok_code', 'VIS_variability_code',
                                  'WND_type_code',
                                  'WND_direction_angle_variable_wind_direction_flag'])],
                  verbose_feature_names_out=False)), ('smote', SMOTE(random_state=42, sampling_strategy=0.3)), ('classifier', RandomForestClassifier(max_depth=10, min_samples_leaf=20, min_samples_split=50,
                       n_jobs=-1, random_state=42))], 'estimator__transform_input': None, 'estimator__verbose': False, 'estimator__DT': DewTempSpread(new_col='TMP-DEW'), 'estimator__TC': DatetimeSinCosConverter(), 'estimator__preprocessor': ColumnTransformer(transformers=[('feat_engin_temp_dew',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['TMP-DEW']),
                                ('feat_engin_time_features',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['sin_monthofyear', 'cos_monthofyear',
                                  'sin_hourofday', 'cos_hourofday']),
                                ('n...
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('drop_features', 'drop', ['DATE']),
                                ('additional_drops', 'drop',
                                 ['CIG_cavok_code', 'VIS_variability_code',
                                  'WND_type_code',
                                  'WND_direction_angle_variable_wind_direction_flag'])],
                  verbose_feature_names_out=False), 'estimator__smote': SMOTE(random_state=42, sampling_strategy=0.3), 'estimator__classifier': RandomForestClassifier(max_depth=10, min_samples_leaf=20, min_samples_split=50,
                       n_jobs=-1, random_state=42), 'estimator__DT__new_col': 'TMP-DEW', 'estimator__TC__column': 'DATE', 'estimator__TC__dayofyear': True, 'estimator__TC__hourofday': True, 'estimator__TC__monthofyear': True, 'estimator__preprocessor__force_int_remainder_cols': 'deprecated', 'estimator__preprocessor__n_jobs': None, 'estimator__preprocessor__remainder': 'drop', 'estimator__preprocessor__sparse_threshold': 0.3, 'estimator__preprocessor__transformer_weights': None, 'estimator__preprocessor__transformers': [('feat_engin_temp_dew', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['TMP-DEW']), ('feat_engin_time_features', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['sin_monthofyear', 'cos_monthofyear', 'sin_hourofday', 'cos_hourofday']), ('numeric_feature_pipeline', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['WND_direction_angle', 'WND_speed_rate', 'CIG_ceiling_height', 'VIS_distance', 'TMP_air_temperature', 'DEW_dew_point', 'SLP_sea_level_pressure']), ('drop_features', 'drop', ['DATE']), ('additional_drops', 'drop', ['CIG_cavok_code', 'VIS_variability_code', 'WND_type_code', 'WND_direction_angle_variable_wind_direction_flag'])], 'estimator__preprocessor__verbose': False, 'estimator__preprocessor__verbose_feature_names_out': False, 'estimator__preprocessor__feat_engin_temp_dew': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'estimator__preprocessor__feat_engin_time_features': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'estimator__preprocessor__numeric_feature_pipeline': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'estimator__preprocessor__drop_features': 'drop', 'estimator__preprocessor__additional_drops': 'drop', 'estimator__preprocessor__feat_engin_temp_dew__memory': None, 'estimator__preprocessor__feat_engin_temp_dew__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'estimator__preprocessor__feat_engin_temp_dew__transform_input': None, 'estimator__preprocessor__feat_engin_temp_dew__verbose': False, 'estimator__preprocessor__feat_engin_temp_dew__imputer': SimpleImputer(strategy='median'), 'estimator__preprocessor__feat_engin_temp_dew__scale': StandardScaler(), 'estimator__preprocessor__feat_engin_temp_dew__imputer__add_indicator': False, 'estimator__preprocessor__feat_engin_temp_dew__imputer__copy': True, 'estimator__preprocessor__feat_engin_temp_dew__imputer__fill_value': None, 'estimator__preprocessor__feat_engin_temp_dew__imputer__keep_empty_features': False, 'estimator__preprocessor__feat_engin_temp_dew__imputer__missing_values': nan, 'estimator__preprocessor__feat_engin_temp_dew__imputer__strategy': 'median', 'estimator__preprocessor__feat_engin_temp_dew__scale__copy': True, 'estimator__preprocessor__feat_engin_temp_dew__scale__with_mean': True, 'estimator__preprocessor__feat_engin_temp_dew__scale__with_std': True, 'estimator__preprocessor__feat_engin_time_features__memory': None, 'estimator__preprocessor__feat_engin_time_features__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'estimator__preprocessor__feat_engin_time_features__transform_input': None, 'estimator__preprocessor__feat_engin_time_features__verbose': False, 'estimator__preprocessor__feat_engin_time_features__imputer': SimpleImputer(strategy='median'), 'estimator__preprocessor__feat_engin_time_features__scale': StandardScaler(), 'estimator__preprocessor__feat_engin_time_features__imputer__add_indicator': False, 'estimator__preprocessor__feat_engin_time_features__imputer__copy': True, 'estimator__preprocessor__feat_engin_time_features__imputer__fill_value': None, 'estimator__preprocessor__feat_engin_time_features__imputer__keep_empty_features': False, 'estimator__preprocessor__feat_engin_time_features__imputer__missing_values': nan, 'estimator__preprocessor__feat_engin_time_features__imputer__strategy': 'median', 'estimator__preprocessor__feat_engin_time_features__scale__copy': True, 'estimator__preprocessor__feat_engin_time_features__scale__with_mean': True, 'estimator__preprocessor__feat_engin_time_features__scale__with_std': True, 'estimator__preprocessor__numeric_feature_pipeline__memory': None, 'estimator__preprocessor__numeric_feature_pipeline__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'estimator__preprocessor__numeric_feature_pipeline__transform_input': None, 'estimator__preprocessor__numeric_feature_pipeline__verbose': False, 'estimator__preprocessor__numeric_feature_pipeline__imputer': SimpleImputer(strategy='median'), 'estimator__preprocessor__numeric_feature_pipeline__scale': StandardScaler(), 'estimator__preprocessor__numeric_feature_pipeline__imputer__add_indicator': False, 'estimator__preprocessor__numeric_feature_pipeline__imputer__copy': True, 'estimator__preprocessor__numeric_feature_pipeline__imputer__fill_value': None, 'estimator__preprocessor__numeric_feature_pipeline__imputer__keep_empty_features': False, 'estimator__preprocessor__numeric_feature_pipeline__imputer__missing_values': nan, 'estimator__preprocessor__numeric_feature_pipeline__imputer__strategy': 'median', 'estimator__preprocessor__numeric_feature_pipeline__scale__copy': True, 'estimator__preprocessor__numeric_feature_pipeline__scale__with_mean': True, 'estimator__preprocessor__numeric_feature_pipeline__scale__with_std': True, 'estimator__smote__k_neighbors': 5, 'estimator__smote__random_state': 42, 'estimator__smote__sampling_strategy': 0.3, 'estimator__classifier__bootstrap': True, 'estimator__classifier__ccp_alpha': 0.0, 'estimator__classifier__class_weight': None, 'estimator__classifier__criterion': 'gini', 'estimator__classifier__max_depth': 10, 'estimator__classifier__max_features': 'sqrt', 'estimator__classifier__max_leaf_nodes': None, 'estimator__classifier__max_samples': None, 'estimator__classifier__min_impurity_decrease': 0.0, 'estimator__classifier__min_samples_leaf': 20, 'estimator__classifier__min_samples_split': 50, 'estimator__classifier__min_weight_fraction_leaf': 0.0, 'estimator__classifier__monotonic_cst': None, 'estimator__classifier__n_estimators': 100, 'estimator__classifier__n_jobs': -1, 'estimator__classifier__oob_score': False, 'estimator__classifier__random_state': 42, 'estimator__classifier__verbose': 0, 'estimator__classifier__warm_start': False, 'estimator': Pipeline(steps=[('DT', DewTempSpread(new_col='TMP-DEW')),
                ('TC', DatetimeSinCosConverter()),
                ('preprocessor',
                 ColumnTransformer(transformers=[('feat_engin_temp_dew',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scale',
                                                                   StandardScaler())]),
                                                  ['TMP-DEW']),
                                                 ('feat_engin_time_features',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')...
                                                  ['DATE']),
                                                 ('additional_drops', 'drop',
                                                  ['CIG_cavok_code',
                                                   'VIS_variability_code',
                                                   'WND_type_code',
                                                   'WND_direction_angle_variable_wind_direction_flag'])],
                                   verbose_feature_names_out=False)),
                ('smote', SMOTE(random_state=42, sampling_strategy=0.3)),
                ('classifier',
                 RandomForestClassifier(max_depth=10, min_samples_leaf=20,
                                        min_samples_split=50, n_jobs=-1,
                                        random_state=42))]), 'method': 'isotonic', 'n_jobs': None}",4.893655188016318
