STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,WND_direction_angle,WND_direction_quality_code,WND_type_code,WND_speed_rate,WND_speed_quality_code,CIG_ceiling_height,CIG_ceiling_quality_code,CIG_ceiling_determination_code,CIG_cavok_code,VIS_distance,VIS_distance_quality_code,VIS_variability_code,VIS_variability_quality_code,TMP_air_temperature,TMP_air_temperature_quality_code,DEW_dew_point,DEW_dew_point_quality_code,SLP_sea_level_pressure,SLP_sea_level_pressure_quality_code,TORNADO_OCCURRENCE,TORNADO_BEGIN_DATE_TIME
72357099999,35.233,-97.45,345.0,2000-02-10 06:00:00,150,1,N,21,1,99999,9,9,N,16000,1,N,1,83,1,-11,1,10168,1,False,
72357099999,35.233,-97.45,345.0,2000-03-14 06:00:00,180,1,N,36,1,22000,1,9,N,16000,1,N,1,50,1,-22,1,10244,1,False,
72357099999,35.233,-97.45,345.0,2000-09-29 12:35:00,210,1,N,21,1,22000,1,9,N,16093,1,N,1,120,1,90,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 13:00:00,190,1,N,21,1,22000,1,9,N,16093,1,N,1,130,1,110,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 14:00:00,180,1,N,41,1,22000,1,9,N,16093,1,N,1,170,1,120,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 15:00:00,190,1,N,41,1,22000,1,9,N,16093,1,N,1,190,1,120,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 16:00:00,180,1,N,62,1,22000,1,9,N,16093,1,N,1,230,1,120,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 17:00:00,170,1,N,57,1,22000,1,9,N,16093,1,N,1,240,1,130,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 18:00:00,180,1,N,57,1,22000,1,9,N,16093,1,N,1,260,1,120,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 19:00:00,180,1,N,62,1,22000,1,9,N,16093,1,N,1,270,1,120,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 20:00:00,160,1,N,46,1,22000,1,9,N,16093,1,N,1,280,1,120,1,99999,9,False,
72357099999,35.233,-97.45,345.0,2000-09-29 21:00:00,180,1,N,36,1,22000,1,9,N,16093,1,N,1,280,1,120,1,99999,9,False,
