STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,WND_direction_angle,WND_direction_quality_code,WND_type_code,WND_speed_rate,WND_speed_quality_code,CIG_ceiling_height,CIG_ceiling_quality_code,CIG_ceiling_determination_code,CIG_cavok_code,VIS_distance,VIS_distance_quality_code,VIS_variability_code,VIS_variability_quality_code,TMP_air_temperature,TMP_air_temperature_quality_code,DEW_dew_point,DEW_dew_point_quality_code,SLP_sea_level_pressure,SLP_sea_level_pressure_quality_code,TORNADO_OCCURRENCE,TORNADO_BEGIN_DATE_TIME
72353013967,35.3889,-97.6006,391.7,2000-01-01 00:00:00,130,5,N,26,5,22000,5,M,N,16000,5,N,1,106,5,22,5,10160,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 01:00:00,150,5,N,26,5,22000,5,M,N,16000,5,N,1,94,5,17,5,10162,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 02:00:00,140,5,N,36,5,22000,5,M,N,16000,5,N,1,67,5,17,5,10160,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 03:00:00,180,5,N,21,5,22000,5,M,N,16000,5,N,1,50,5,11,5,10161,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 04:00:00,150,5,N,31,5,22000,5,M,N,16000,5,N,1,44,5,11,5,10159,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 05:00:00,150,5,N,36,5,22000,5,M,N,16000,5,N,1,50,5,17,5,10153,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 05:56:00,170,1,N,26,1,22000,1,9,N,16093,1,N,1,30,1,10,1,10153,1,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 05:59:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 05:59:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 06:00:00,170,5,N,26,5,22000,5,M,N,16000,5,N,1,33,5,6,5,10153,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 07:00:00,140,5,N,36,5,22000,5,M,N,16000,5,N,1,33,5,6,5,10144,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 08:00:00,150,5,N,46,5,22000,5,M,N,16000,5,N,1,44,5,11,5,10137,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 09:00:00,150,5,N,57,5,22000,5,M,N,16000,5,N,1,44,5,17,5,10136,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 10:00:00,160,5,N,36,5,22000,5,M,N,16000,5,N,1,39,5,11,5,10134,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 11:00:00,150,5,N,46,5,22000,5,M,N,16000,5,9,9,44,5,22,5,10127,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 11:56:00,150,1,N,46,1,22000,1,9,N,16093,1,N,1,40,1,20,1,10126,1,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 12:00:00,150,5,N,46,5,22000,5,M,N,16000,5,N,1,44,5,22,5,10126,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 13:00:00,160,5,N,41,5,22000,5,M,N,16000,5,N,1,39,5,22,5,10132,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 14:00:00,150,5,N,41,5,7620,5,M,N,12800,5,N,1,44,5,22,5,10132,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 15:00:00,160,5,N,52,5,22000,5,M,N,14400,5,N,1,72,5,39,5,10132,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 16:00:00,170,5,N,72,5,22000,5,M,N,16000,5,N,1,117,5,44,5,10127,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 17:00:00,170,5,N,88,5,22000,5,M,N,16000,5,N,1,150,5,33,5,10123,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 17:56:00,170,1,N,77,1,22000,1,9,N,16093,1,N,1,180,1,20,1,10109,1,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 18:00:00,170,5,N,77,5,22000,5,M,N,16000,5,N,1,183,5,22,5,10109,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 19:00:00,180,5,N,98,5,22000,5,M,N,16000,5,N,1,211,5,17,5,10087,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 20:00:00,170,5,N,93,5,22000,5,M,N,16000,5,N,1,217,5,28,5,10069,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 21:00:00,170,5,N,108,5,22000,5,M,N,16000,5,N,1,217,5,28,5,10056,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 22:00:00,180,5,N,98,5,22000,5,M,N,16000,5,9,9,211,5,33,5,10058,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 23:00:00,160,5,N,67,5,7620,5,M,N,16000,5,N,1,200,5,39,5,10054,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-01 23:56:00,150,1,N,62,1,22000,1,9,N,16093,1,N,1,160,1,50,1,10054,1,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 00:00:00,150,5,N,62,5,22000,5,M,N,16000,5,N,1,161,5,50,5,10054,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 01:00:00,160,5,N,72,5,22000,5,M,N,16000,5,N,1,161,5,67,5,10055,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 02:00:00,150,5,N,82,5,22000,5,M,N,16000,5,N,1,161,5,78,5,10055,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 03:00:00,150,5,N,72,5,22000,5,M,N,16000,5,N,1,156,5,94,5,10055,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 04:00:00,160,5,N,67,5,22000,5,M,N,16000,5,N,1,156,5,111,5,10053,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 05:00:00,190,5,N,62,5,22000,5,M,N,16000,5,9,9,161,5,117,5,10056,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 05:56:00,190,1,N,67,1,22000,1,9,N,16093,1,N,1,160,1,120,1,10054,1,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 05:59:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 06:00:00,190,5,N,67,5,22000,5,M,N,16000,5,N,1,156,5,117,5,10054,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 07:00:00,200,5,N,62,5,22000,5,M,N,16000,5,N,1,144,5,111,5,10053,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 08:00:00,230,5,N,52,5,22000,5,M,N,16000,5,N,1,139,5,106,5,10063,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 09:00:00,210,5,N,52,5,22000,5,M,N,16000,5,N,1,128,5,94,5,10074,5,False,
72353013967,35.3889,-97.6006,391.7,2000-01-02 10:00:00,190,5,N,36,5,7620,5,M,N,16000,5,N,1,122,5,67,5,10077,5,False,
