STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,WND_direction_angle,WND_direction_quality_code,WND_type_code,WND_speed_rate,WND_speed_quality_code,CIG_ceiling_height,CIG_ceiling_quality_code,CIG_ceiling_determination_code,CIG_cavok_code,VIS_distance,VIS_distance_quality_code,VIS_variability_code,VIS_variability_quality_code,TMP_air_temperature,TMP_air_temperature_quality_code,DEW_dew_point,DEW_dew_point_quality_code,SLP_sea_level_pressure,SLP_sea_level_pressure_quality_code,TORNADO_OCCURRENCE,TORNADO_BEGIN_TIME
72353013967,35.3889,-97.6006,391.7,2010-01-29 05:59:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 06:00:00,20,1,N,62,1,99999,9,9,N,12000,1,N,1,-17,1,-33,1,10215,1,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 06:47:00,999,9,9,9999,9,213,5,M,N,999999,9,N,A,-20,5,-30,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 06:56:00,999,9,9,9999,9,99999,9,9,N,999999,9,N,A,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 06:59:00,999,9,9,9999,9,99999,9,9,N,999999,9,9,9,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 07:03:00,10,5,N,72,5,213,5,M,N,9656,5,N,5,-20,5,-40,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 07:52:00,10,5,N,72,5,213,5,M,N,11265,5,N,5,-22,5,-44,5,10215,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 08:52:00,20,5,N,77,5,213,5,M,N,6437,5,N,5,-28,5,-50,5,10207,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 09:00:00,20,1,N,77,1,99999,9,9,N,6000,1,N,1,-28,1,-50,1,10207,1,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 09:52:00,20,5,N,46,5,213,5,M,N,4828,5,N,5,-33,5,-56,5,10210,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 10:48:00,30,5,N,82,5,600,5,9,N,999999,9,N,A,-30,1,-60,1,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 10:53:00,20,5,N,67,5,610,5,M,N,6437,5,N,5,-39,5,-56,5,10209,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 11:52:00,10,5,N,46,5,610,5,M,N,8047,5,N,5,-39,5,-61,5,10204,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 12:00:00,10,1,N,46,1,99999,9,9,N,8000,1,N,1,-39,1,-61,1,10204,1,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 12:52:00,20,5,N,41,5,610,5,M,N,6437,5,N,5,-39,5,-61,5,10214,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 12:59:00,999,9,9,9999,9,99999,9,9,N,4828,5,N,5,-40,5,-60,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 13:08:00,20,5,N,41,5,457,5,M,N,4023,5,N,5,-40,5,-60,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 13:28:00,20,5,N,41,5,457,5,M,N,2816,5,N,5,-40,5,-60,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 13:49:00,10,5,N,72,5,244,5,M,N,1609,5,N,5,-40,5,-60,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 13:52:00,20,5,N,62,5,244,5,M,N,1609,5,N,5,-39,5,-61,5,10207,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 14:52:00,10,5,N,77,5,244,5,M,N,1609,5,N,5,-44,5,-67,5,10205,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 15:00:00,10,1,N,77,1,99999,9,9,N,1600,1,N,1,-44,1,-67,1,10205,1,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 15:50:00,360,5,N,62,5,213,5,M,N,1609,5,N,5,-40,5,-70,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 15:52:00,350,5,N,51,5,213,5,M,N,1609,5,N,5,-44,5,-67,5,10218,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 16:12:00,350,5,N,57,5,183,5,M,N,1207,5,N,5,-40,5,-70,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 16:52:00,350,5,N,62,5,183,5,M,N,1207,5,N,5,-44,5,-67,5,10212,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:04:00,350,5,N,62,5,99999,9,9,N,1207,5,N,5,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:11:00,350,5,N,62,5,183,5,M,N,1207,5,N,5,-40,5,-70,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:21:00,360,5,N,62,5,99999,9,9,N,1207,5,N,5,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:24:00,350,5,N,67,5,99999,9,9,N,1207,5,N,5,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:25:00,350,5,N,67,5,99999,9,9,N,1207,5,N,5,9999,9,9999,9,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:36:00,360,5,N,72,5,183,5,M,N,1207,5,N,5,-40,5,-70,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:50:00,350,5,N,82,5,91,5,M,N,805,P,N,A,-40,5,-70,5,99999,9,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 17:52:00,350,P,N,80,P,91,5,M,N,805,P,N,A,-44,5,-67,5,10199,5,False,
72353013967,35.3889,-97.6006,391.7,2010-01-29 18:00:00,360,1,N,77,1,99999,9,9,N,800,1,N,1,-44,1,-67,1,10199,1,False,
