,Station 72353013967,Station 99999903948,Station 72354099999,Station 72357003948,Station 72354013919,Station 72354403954,Station 99999903954,Station 72354499999,Station 72357099999
STATION,329180,8487,51130,373707,211438,178358,12344,101244,104747
NAME,329180,8487,51130,373707,211438,178358,0,101244,104747
LATITUDE,329180,8487,51130,373707,211438,178358,12344,101244,104747
LONGITUDE,329180,8487,51130,373707,211438,178358,12344,101244,104747
ELEVATION,329180,8487,51130,373707,211438,178358,12344,101244,104747
DATE,329180,8487,51130,373707,211438,178358,12344,101244,104747
SOURCE,329180,8487,51130,373707,211438,178358,12344,101244,104747
REPORT_TYPE,329180,8487,51130,373707,211438,178358,12344,101244,104747
CALL_SIGN,329180,8487,51130,373707,211438,178358,12344,101244,104747
QUALITY_CONTROL,329180,8487,51130,373707,211438,178358,12344,101244,104747
AA1,222145,0,2149,10218,16075,156725,10693,8802,6604
AA2,15535,0,221,347,4203,6660,0,1311,1
AA3,1227,0,0,79,413,612,0,83,0
AA4,3,0,0,0,0,0,0,0,0
AB1,254,0,0,0,0,182,69,0,0
AD1,260,0,0,0,0,183,69,0,0
AE1,261,14,0,0,5,183,69,0,0
AG1,1,0,0,0,0,0,0,0,0
AH1,231,0,0,0,0,178,68,0,0
AH2,231,0,0,0,0,178,68,0,0
AH3,231,0,0,0,0,178,66,0,0
AH4,230,0,0,0,0,178,65,0,0
AH5,230,0,0,0,0,178,64,0,0
AH6,230,0,0,0,0,178,64,0,0
AI1,231,0,0,0,0,183,67,0,0
AI2,231,0,0,0,0,183,67,0,0
AI3,231,0,0,0,0,183,67,0,0
AI4,231,0,0,0,0,183,66,0,0
AI5,231,0,0,0,0,183,66,0,0
AI6,231,0,0,0,0,183,66,0,0
AJ1,7980,0,60,0,134,3295,0,1,0
AK1,195,0,0,0,0,0,0,0,0
AL1,1361,0,0,0,0,3224,0,0,0
AM1,197,0,0,0,0,0,0,0,0
AN1,7381,0,0,0,0,3194,0,0,0
AT1,3398,162,0,2407,2639,2507,144,0,0
AT2,2453,83,0,1495,1815,1663,85,0,0
AT3,1496,29,0,703,1242,879,40,0,0
