,Model,Parameters,validation_Threshold,validation_avg_precision,validation_F2,validation_Recall,validation_Precision,validation_roc_auc,validation_brier_score
0,LogReg_L2,"{'memory': None, 'steps': [('preprocessor', ColumnTransformer(transformers=[('numeric_feature_pipeline',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('binary_pipeline',
                                 Pipeline(steps=[('binary',
                                                  FunctionTransf...unction encode_binary at 0x19ba59b20>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])])), ('classifier', LogisticRegression(random_state=42, solver='saga'))], 'transform_input': None, 'verbose': False, 'preprocessor': ColumnTransformer(transformers=[('numeric_feature_pipeline',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('binary_pipeline',
                                 Pipeline(steps=[('binary',
                                                  FunctionTransf...unction encode_binary at 0x19ba59b20>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])]), 'classifier': LogisticRegression(random_state=42, solver='saga'), 'preprocessor__force_int_remainder_cols': 'deprecated', 'preprocessor__n_jobs': None, 'preprocessor__remainder': 'drop', 'preprocessor__sparse_threshold': 0.3, 'preprocessor__transformer_weights': None, 'preprocessor__transformers': [('numeric_feature_pipeline', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['WND_direction_angle', 'WND_speed_rate', 'CIG_ceiling_height', 'VIS_distance', 'TMP_air_temperature', 'DEW_dew_point', 'SLP_sea_level_pressure']), ('binary_pipeline', Pipeline(steps=[('binary',
                 FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))]), ['CIG_cavok_code', 'VIS_variability_code']), ('nominal_pipeline', Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), ['WND_type_code']), ('passthrough_features', 'passthrough', ['WND_direction_angle_variable_wind_direction_flag']), ('drop_features', 'drop', ['DATE'])], 'preprocessor__verbose': False, 'preprocessor__verbose_feature_names_out': True, 'preprocessor__numeric_feature_pipeline': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'preprocessor__binary_pipeline': Pipeline(steps=[('binary',
                 FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))]), 'preprocessor__nominal_pipeline': Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), 'preprocessor__passthrough_features': 'passthrough', 'preprocessor__drop_features': 'drop', 'preprocessor__numeric_feature_pipeline__memory': None, 'preprocessor__numeric_feature_pipeline__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'preprocessor__numeric_feature_pipeline__transform_input': None, 'preprocessor__numeric_feature_pipeline__verbose': False, 'preprocessor__numeric_feature_pipeline__imputer': SimpleImputer(strategy='median'), 'preprocessor__numeric_feature_pipeline__scale': StandardScaler(), 'preprocessor__numeric_feature_pipeline__imputer__add_indicator': False, 'preprocessor__numeric_feature_pipeline__imputer__copy': True, 'preprocessor__numeric_feature_pipeline__imputer__fill_value': None, 'preprocessor__numeric_feature_pipeline__imputer__keep_empty_features': False, 'preprocessor__numeric_feature_pipeline__imputer__missing_values': nan, 'preprocessor__numeric_feature_pipeline__imputer__strategy': 'median', 'preprocessor__numeric_feature_pipeline__scale__copy': True, 'preprocessor__numeric_feature_pipeline__scale__with_mean': True, 'preprocessor__numeric_feature_pipeline__scale__with_std': True, 'preprocessor__binary_pipeline__memory': None, 'preprocessor__binary_pipeline__steps': [('binary', FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))], 'preprocessor__binary_pipeline__transform_input': None, 'preprocessor__binary_pipeline__verbose': False, 'preprocessor__binary_pipeline__binary': FunctionTransformer(func=<function encode_binary at 0x19ba59b20>), 'preprocessor__binary_pipeline__binary__accept_sparse': False, 'preprocessor__binary_pipeline__binary__check_inverse': True, 'preprocessor__binary_pipeline__binary__feature_names_out': None, 'preprocessor__binary_pipeline__binary__func': <function encode_binary at 0x19ba59b20>, 'preprocessor__binary_pipeline__binary__inv_kw_args': None, 'preprocessor__binary_pipeline__binary__inverse_func': None, 'preprocessor__binary_pipeline__binary__kw_args': None, 'preprocessor__binary_pipeline__binary__validate': False, 'preprocessor__nominal_pipeline__memory': None, 'preprocessor__nominal_pipeline__steps': [('nominal', OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False))], 'preprocessor__nominal_pipeline__transform_input': None, 'preprocessor__nominal_pipeline__verbose': False, 'preprocessor__nominal_pipeline__nominal': OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False), 'preprocessor__nominal_pipeline__nominal__categories': 'auto', 'preprocessor__nominal_pipeline__nominal__drop': 'first', 'preprocessor__nominal_pipeline__nominal__dtype': <class 'numpy.float64'>, 'preprocessor__nominal_pipeline__nominal__feature_name_combiner': 'concat', 'preprocessor__nominal_pipeline__nominal__handle_unknown': 'ignore', 'preprocessor__nominal_pipeline__nominal__max_categories': None, 'preprocessor__nominal_pipeline__nominal__min_frequency': None, 'preprocessor__nominal_pipeline__nominal__sparse_output': False, 'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__intercept_scaling': 1, 'classifier__l1_ratio': None, 'classifier__max_iter': 100, 'classifier__multi_class': 'deprecated', 'classifier__n_jobs': None, 'classifier__penalty': 'l2', 'classifier__random_state': 42, 'classifier__solver': 'saga', 'classifier__tol': 0.0001, 'classifier__verbose': 0, 'classifier__warm_start': False}",0.01343428065827844,0.013074649596414228,0.055286800276434005,0.13675213675213677,0.01634320735444331,0.8910676163626567,0.002171615353248782
1,LogReg_L1,"{'memory': None, 'steps': [('preprocessor', ColumnTransformer(transformers=[('numeric_feature_pipeline',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('binary_pipeline',
                                 Pipeline(steps=[('binary',
                                                  FunctionTransf...unction encode_binary at 0x19ba59b20>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])])), ('classifier', LogisticRegression(penalty='l1', random_state=42, solver='saga'))], 'transform_input': None, 'verbose': False, 'preprocessor': ColumnTransformer(transformers=[('numeric_feature_pipeline',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('binary_pipeline',
                                 Pipeline(steps=[('binary',
                                                  FunctionTransf...unction encode_binary at 0x19ba59b20>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])]), 'classifier': LogisticRegression(penalty='l1', random_state=42, solver='saga'), 'preprocessor__force_int_remainder_cols': 'deprecated', 'preprocessor__n_jobs': None, 'preprocessor__remainder': 'drop', 'preprocessor__sparse_threshold': 0.3, 'preprocessor__transformer_weights': None, 'preprocessor__transformers': [('numeric_feature_pipeline', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['WND_direction_angle', 'WND_speed_rate', 'CIG_ceiling_height', 'VIS_distance', 'TMP_air_temperature', 'DEW_dew_point', 'SLP_sea_level_pressure']), ('binary_pipeline', Pipeline(steps=[('binary',
                 FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))]), ['CIG_cavok_code', 'VIS_variability_code']), ('nominal_pipeline', Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), ['WND_type_code']), ('passthrough_features', 'passthrough', ['WND_direction_angle_variable_wind_direction_flag']), ('drop_features', 'drop', ['DATE'])], 'preprocessor__verbose': False, 'preprocessor__verbose_feature_names_out': True, 'preprocessor__numeric_feature_pipeline': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'preprocessor__binary_pipeline': Pipeline(steps=[('binary',
                 FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))]), 'preprocessor__nominal_pipeline': Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), 'preprocessor__passthrough_features': 'passthrough', 'preprocessor__drop_features': 'drop', 'preprocessor__numeric_feature_pipeline__memory': None, 'preprocessor__numeric_feature_pipeline__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'preprocessor__numeric_feature_pipeline__transform_input': None, 'preprocessor__numeric_feature_pipeline__verbose': False, 'preprocessor__numeric_feature_pipeline__imputer': SimpleImputer(strategy='median'), 'preprocessor__numeric_feature_pipeline__scale': StandardScaler(), 'preprocessor__numeric_feature_pipeline__imputer__add_indicator': False, 'preprocessor__numeric_feature_pipeline__imputer__copy': True, 'preprocessor__numeric_feature_pipeline__imputer__fill_value': None, 'preprocessor__numeric_feature_pipeline__imputer__keep_empty_features': False, 'preprocessor__numeric_feature_pipeline__imputer__missing_values': nan, 'preprocessor__numeric_feature_pipeline__imputer__strategy': 'median', 'preprocessor__numeric_feature_pipeline__scale__copy': True, 'preprocessor__numeric_feature_pipeline__scale__with_mean': True, 'preprocessor__numeric_feature_pipeline__scale__with_std': True, 'preprocessor__binary_pipeline__memory': None, 'preprocessor__binary_pipeline__steps': [('binary', FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))], 'preprocessor__binary_pipeline__transform_input': None, 'preprocessor__binary_pipeline__verbose': False, 'preprocessor__binary_pipeline__binary': FunctionTransformer(func=<function encode_binary at 0x19ba59b20>), 'preprocessor__binary_pipeline__binary__accept_sparse': False, 'preprocessor__binary_pipeline__binary__check_inverse': True, 'preprocessor__binary_pipeline__binary__feature_names_out': None, 'preprocessor__binary_pipeline__binary__func': <function encode_binary at 0x19ba59b20>, 'preprocessor__binary_pipeline__binary__inv_kw_args': None, 'preprocessor__binary_pipeline__binary__inverse_func': None, 'preprocessor__binary_pipeline__binary__kw_args': None, 'preprocessor__binary_pipeline__binary__validate': False, 'preprocessor__nominal_pipeline__memory': None, 'preprocessor__nominal_pipeline__steps': [('nominal', OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False))], 'preprocessor__nominal_pipeline__transform_input': None, 'preprocessor__nominal_pipeline__verbose': False, 'preprocessor__nominal_pipeline__nominal': OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False), 'preprocessor__nominal_pipeline__nominal__categories': 'auto', 'preprocessor__nominal_pipeline__nominal__drop': 'first', 'preprocessor__nominal_pipeline__nominal__dtype': <class 'numpy.float64'>, 'preprocessor__nominal_pipeline__nominal__feature_name_combiner': 'concat', 'preprocessor__nominal_pipeline__nominal__handle_unknown': 'ignore', 'preprocessor__nominal_pipeline__nominal__max_categories': None, 'preprocessor__nominal_pipeline__nominal__min_frequency': None, 'preprocessor__nominal_pipeline__nominal__sparse_output': False, 'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__intercept_scaling': 1, 'classifier__l1_ratio': None, 'classifier__max_iter': 100, 'classifier__multi_class': 'deprecated', 'classifier__n_jobs': None, 'classifier__penalty': 'l1', 'classifier__random_state': 42, 'classifier__solver': 'saga', 'classifier__tol': 0.0001, 'classifier__verbose': 0, 'classifier__warm_start': False}",0.013561721021554025,0.013055209702648039,0.052083333333333336,0.1282051282051282,0.015432098765432098,0.8911764649552221,0.0021715659836441734
2,DecisionTree,"{'memory': None, 'steps': [('preprocessor', ColumnTransformer(transformers=[('numeric_feature_pipeline',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('binary_pipeline',
                                 Pipeline(steps=[('binary',
                                                  FunctionTransf...unction encode_binary at 0x19ba59b20>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])])), ('classifier', DecisionTreeClassifier(max_depth=10, min_samples_leaf=20, min_samples_split=50,
                       random_state=42))], 'transform_input': None, 'verbose': False, 'preprocessor': ColumnTransformer(transformers=[('numeric_feature_pipeline',
                                 Pipeline(steps=[('imputer',
                                                  SimpleImputer(strategy='median')),
                                                 ('scale', StandardScaler())]),
                                 ['WND_direction_angle', 'WND_speed_rate',
                                  'CIG_ceiling_height', 'VIS_distance',
                                  'TMP_air_temperature', 'DEW_dew_point',
                                  'SLP_sea_level_pressure']),
                                ('binary_pipeline',
                                 Pipeline(steps=[('binary',
                                                  FunctionTransf...unction encode_binary at 0x19ba59b20>))]),
                                 ['CIG_cavok_code', 'VIS_variability_code']),
                                ('nominal_pipeline',
                                 Pipeline(steps=[('nominal',
                                                  OneHotEncoder(drop='first',
                                                                handle_unknown='ignore',
                                                                sparse_output=False))]),
                                 ['WND_type_code']),
                                ('passthrough_features', 'passthrough',
                                 ['WND_direction_angle_variable_wind_direction_flag']),
                                ('drop_features', 'drop', ['DATE'])]), 'classifier': DecisionTreeClassifier(max_depth=10, min_samples_leaf=20, min_samples_split=50,
                       random_state=42), 'preprocessor__force_int_remainder_cols': 'deprecated', 'preprocessor__n_jobs': None, 'preprocessor__remainder': 'drop', 'preprocessor__sparse_threshold': 0.3, 'preprocessor__transformer_weights': None, 'preprocessor__transformers': [('numeric_feature_pipeline', Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), ['WND_direction_angle', 'WND_speed_rate', 'CIG_ceiling_height', 'VIS_distance', 'TMP_air_temperature', 'DEW_dew_point', 'SLP_sea_level_pressure']), ('binary_pipeline', Pipeline(steps=[('binary',
                 FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))]), ['CIG_cavok_code', 'VIS_variability_code']), ('nominal_pipeline', Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), ['WND_type_code']), ('passthrough_features', 'passthrough', ['WND_direction_angle_variable_wind_direction_flag']), ('drop_features', 'drop', ['DATE'])], 'preprocessor__verbose': False, 'preprocessor__verbose_feature_names_out': True, 'preprocessor__numeric_feature_pipeline': Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('scale', StandardScaler())]), 'preprocessor__binary_pipeline': Pipeline(steps=[('binary',
                 FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))]), 'preprocessor__nominal_pipeline': Pipeline(steps=[('nominal',
                 OneHotEncoder(drop='first', handle_unknown='ignore',
                               sparse_output=False))]), 'preprocessor__passthrough_features': 'passthrough', 'preprocessor__drop_features': 'drop', 'preprocessor__numeric_feature_pipeline__memory': None, 'preprocessor__numeric_feature_pipeline__steps': [('imputer', SimpleImputer(strategy='median')), ('scale', StandardScaler())], 'preprocessor__numeric_feature_pipeline__transform_input': None, 'preprocessor__numeric_feature_pipeline__verbose': False, 'preprocessor__numeric_feature_pipeline__imputer': SimpleImputer(strategy='median'), 'preprocessor__numeric_feature_pipeline__scale': StandardScaler(), 'preprocessor__numeric_feature_pipeline__imputer__add_indicator': False, 'preprocessor__numeric_feature_pipeline__imputer__copy': True, 'preprocessor__numeric_feature_pipeline__imputer__fill_value': None, 'preprocessor__numeric_feature_pipeline__imputer__keep_empty_features': False, 'preprocessor__numeric_feature_pipeline__imputer__missing_values': nan, 'preprocessor__numeric_feature_pipeline__imputer__strategy': 'median', 'preprocessor__numeric_feature_pipeline__scale__copy': True, 'preprocessor__numeric_feature_pipeline__scale__with_mean': True, 'preprocessor__numeric_feature_pipeline__scale__with_std': True, 'preprocessor__binary_pipeline__memory': None, 'preprocessor__binary_pipeline__steps': [('binary', FunctionTransformer(func=<function encode_binary at 0x19ba59b20>))], 'preprocessor__binary_pipeline__transform_input': None, 'preprocessor__binary_pipeline__verbose': False, 'preprocessor__binary_pipeline__binary': FunctionTransformer(func=<function encode_binary at 0x19ba59b20>), 'preprocessor__binary_pipeline__binary__accept_sparse': False, 'preprocessor__binary_pipeline__binary__check_inverse': True, 'preprocessor__binary_pipeline__binary__feature_names_out': None, 'preprocessor__binary_pipeline__binary__func': <function encode_binary at 0x19ba59b20>, 'preprocessor__binary_pipeline__binary__inv_kw_args': None, 'preprocessor__binary_pipeline__binary__inverse_func': None, 'preprocessor__binary_pipeline__binary__kw_args': None, 'preprocessor__binary_pipeline__binary__validate': False, 'preprocessor__nominal_pipeline__memory': None, 'preprocessor__nominal_pipeline__steps': [('nominal', OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False))], 'preprocessor__nominal_pipeline__transform_input': None, 'preprocessor__nominal_pipeline__verbose': False, 'preprocessor__nominal_pipeline__nominal': OneHotEncoder(drop='first', handle_unknown='ignore', sparse_output=False), 'preprocessor__nominal_pipeline__nominal__categories': 'auto', 'preprocessor__nominal_pipeline__nominal__drop': 'first', 'preprocessor__nominal_pipeline__nominal__dtype': <class 'numpy.float64'>, 'preprocessor__nominal_pipeline__nominal__feature_name_combiner': 'concat', 'preprocessor__nominal_pipeline__nominal__handle_unknown': 'ignore', 'preprocessor__nominal_pipeline__nominal__max_categories': None, 'preprocessor__nominal_pipeline__nominal__min_frequency': None, 'preprocessor__nominal_pipeline__nominal__sparse_output': False, 'classifier__ccp_alpha': 0.0, 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__max_leaf_nodes': None, 'classifier__min_impurity_decrease': 0.0, 'classifier__min_samples_leaf': 20, 'classifier__min_samples_split': 50, 'classifier__min_weight_fraction_leaf': 0.0, 'classifier__monotonic_cst': None, 'classifier__random_state': 42, 'classifier__splitter': 'best'}",0.06896551724137931,0.010702104154733393,0.01297016861219196,0.017094017094017096,0.006600660066006601,0.6927059792032155,0.0023152650757521224
