,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,WND_direction_angle,WND_direction_quality_code,WND_type_code,WND_speed_rate,WND_speed_quality_code,CIG_ceiling_height,CIG_ceiling_quality_code,CIG_ceiling_determination_code,CIG_cavok_code,VIS_distance,VIS_distance_quality_code,VIS_variability_code,VIS_variability_quality_code,TMP_air_temperature,TMP_air_temperature_quality_code,DEW_dew_point,DEW_dew_point_quality_code,SLP_sea_level_pressure,SLP_sea_level_pressure_quality_code,TORNADO_OCCURRENCE,TORNADO_BEGIN_DATE_TIME
865840,72357003948,35.25,-97.46667,360.3,2021-04-24 12:15:00,330,1,N,82,1,183,1,9,N,4828,1,9,9,118,1,108,1,99999,9,False,
1100647,72353013967,35.3889,-97.6006,391.7,2014-06-04 00:52:00,170,5,N,67,5,22000,5,9,N,16093,5,N,5,300,5,189,5,10088,5,False,
664664,72357003948,35.25,-97.46667,360.3,2016-04-17 17:15:00,110,5,N,57,5,1981,5,M,N,16093,5,N,5,150,5,150,5,99999,9,False,
945151,72357099999,35.233,-97.45,345.0,2004-06-20 05:11:00,100,1,N,31,1,22000,1,9,N,16093,1,N,1,200,1,170,1,99999,9,False,
691214,72354499999,35.533,-97.65,396.0,2000-06-23 17:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
850206,72357003948,35.25,-97.46667,360.3,2020-05-10 04:30:00,140,5,N,41,5,22000,5,9,N,16093,5,N,5,157,5,81,5,99999,9,False,
1235593,72353013967,35.3889,-97.6006,391.7,2001-07-24 08:52:00,160,5,N,31,5,22000,5,M,N,16000,5,N,1,261,5,217,5,10103,5,False,
492790,72357003948,35.25,-97.46667,360.3,2010-02-11 09:11:00,150,5,N,26,5,1981,5,M,N,16093,5,N,5,10,5,-40,5,99999,9,False,
1309798,72353013967,35.3889,-97.6006,391.7,2017-08-31 21:52:00,40,5,N,46,5,22000,5,9,N,16093,5,N,5,283,5,144,5,10141,5,False,
1038995,72354099999,35.417,-97.383,397.0,2004-10-09 11:00:00,20,1,N,31,1,22000,1,9,N,8046,1,N,1,160,1,160,1,10171,1,False,
