,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,WND_direction_angle,WND_speed_rate,CIG_ceiling_height,CIG_ceiling_quality_code,VIS_distance,TMP_air_temperature,DEW_dew_point,SLP_sea_level_pressure,SLP_sea_level_pressure_quality_code,TORNADO_BEGIN_DATE_TIME
count,1370635.0,1370635.0,1370635.0,1370635.0,1370635,1370635.0,1370635.0,1370635.0,1370635.0,1370635.0,1370635.0,1370635.0,1370635.0,1370635.0,2271
mean,72775078756.30133,35.37449257881931,-97.52020815876577,380.61606160648114,2010-10-03 04:53:27.084584704,300.37464678780276,809.8321092048576,22959.619229043474,4.508287034841515,89883.67603191221,906.4984127794781,887.7034075446782,56180.97573825271,6.580433886483273,2011-04-08 20:11:05.574636288
min,72353013967.0,35.233,-97.65,345.0,2000-01-01 00:00:00,1.0,0.0,0.0,1.0,0.0,-244.0,-310.0,9619.0,1.0,2000-10-22 15:14:00
25%,72354013919.0,35.25,-97.6006,360.3,2005-04-23 03:00:00,140.0,31.0,2400.0,5.0,16000.0,89.0,20.0,10156.0,5.0,2007-03-29 15:05:00
50%,72354403954.0,35.3889,-97.46667,391.7,2010-08-24 19:54:00,180.0,46.0,22000.0,5.0,16093.0,180.0,122.0,99999.0,9.0,2011-11-07 22:47:00
75%,72357003948.0,35.417,-97.45,393.5,2015-12-22 11:57:30,330.0,72.0,22000.0,5.0,16093.0,260.0,190.0,99999.0,9.0,2015-05-23 17:30:00
max,99999903954.0,35.54113,-97.383,397.0,2021-12-31 23:56:00,999.0,9999.0,99999.0,9.0,999999.0,9999.0,9999.0,99999.0,9.0,2021-10-26 23:36:00
std,3382088845.9946923,0.10800194118953074,0.09899476735747996,17.984914958876026,,303.01308050550267,2646.456829430371,26797.91658931449,2.2010258390267734,262119.88908168487,2608.569796663875,2694.0106494263314,44906.153127992904,2.7525613440662657,
