,STATION,STATION_LAT,STATION_LON,ELEVATION,STATION_DATE_TIME,CIG- Sky Condition Observation- Ceiling Height Dimension,CIG- Sky Condition Observation- Ceiling Quality Code,DEW- Air Temperature Observation- Dew Point Temperature,GA1- Sky Cover Layer- Coverage Code,GA1- Sky Cover Layer- Base Height Dimensions,GA1- Sky Cover Layer- Cloud Type Code,MA1-Atmospheric Pressure Observation- Altimeter Setting Rate,MA1-Atmospheric Pressure Observation- Altimeter Quality Code,MA1-Atmospheric Pressure Observation- Station Pressure Rate,MA1-Atmospheric Pressure Observation- Station Pressure Quality Code,SLP- Atmospheric Pressure Observation- Sea Level Pressure,SLP- Atmospheric Pressure Observation- Sea Level Pressure Quality Code,TMP- Air Temperature Observation- Air Temperature,VIS- Visibility Observation- Distance Dimension,WND- Wind Observation- Direction Angle,WND- Wind Observation- Speed Rate,TORNADO_BEGIN_DATE_TIME,TORNADO_END_DATE_TIME,TORNADO_BEGIN_LAT,TORNADO_BEGIN_LON,TORNADO_END_LAT,TORNADO_END_LON,TORNADO_INITIAL_DISTANCE_FROM_STATION
count,1625424.0,1625424.0,1625424.0,1625424.0,1625424,1474229.0,1620280.0,1500370.0,889523.0,633092.0,20819.0,1451533.0,1509106.0,1158454.0,1509106.0,784124.0,1625424.0,1508350.0,1507453.0,1419743.0,1507447.0,321119,321119,319947.0,319947.0,319947.0,319947.0,319947.0
mean,72728671662.13689,35.37580725757711,-97.51981642064473,380.92116844589464,2010-12-25 09:24:12.090925312,13854.095105305893,4.534394672525736,103.70143497937175,3.766049894156756,1504.9905148066948,8.82962678322686,10152.544020011946,4.294475669701134,9697.90235261823,5.737592985515928,10147.519827221206,6.621650104834185,166.65828885868663,14287.018890804557,175.59804556176715,50.47499912103046,2011-12-30 21:43:29.690302208,2011-12-30 21:49:47.531350272,35.56127755381359,-97.1773702306319,35.58064210981818,-97.14199166180644,162.77452880457363
min,72353013967.0,35.233,-97.65,345.0,2000-01-01 00:00:00,0.0,1.0,-310.0,0.0,0.0,0.0,9821.0,0.0,9409.0,0.0,9619.0,1.0,-244.0,0.0,-1.0,0.0,2000-02-24 20:29:00,2000-02-24 20:41:00,33.6799,-103.0024,33.6885,-102.8969,2.380787074979068
25%,72354013919.0,35.25,-97.6006,360.3,2005-07-12 07:27:00,1006.0,5.0,28.0,0.0,274.0,9.0,10108.0,5.0,9651.0,5.0,10099.0,5.0,100.0,16000.0,130.0,31.0,2008-03-31 00:23:00,2008-03-31 00:23:00,34.94,-98.26667,34.9588,-98.2499,101.42450181892268
50%,72354403954.0,35.3889,-97.46667,391.7,2011-02-09 00:52:30,22000.0,5.0,130.0,4.0,701.0,9.0,10152.0,5.0,9697.0,5.0,10144.0,9.0,180.0,16093.0,170.0,46.0,2012-04-13 17:14:00,2012-04-13 17:16:00,35.5519,-97.1132,35.58,-97.066,160.9461154523962
75%,72357003948.0,35.41667,-97.45,393.5,2016-03-01 22:39:15,22000.0,5.0,183.0,7.0,1676.0,9.0,10196.0,5.0,9743.0,5.0,10192.0,9.0,239.0,16093.0,210.0,67.0,2016-05-16 15:39:00,2016-05-16 15:40:00,36.217,-95.7617,36.235,-95.7244,214.24941423148945
max,99999903954.0,35.54113,-97.383,397.0,2021-12-31 23:56:00,22000.0,9.0,300.0,10.0,19812.0,12.0,10481.0,9.0,10213.0,9.0,10494.0,9.0,450.0,119091.0,360.0,535.0,2021-11-10 19:29:00,2021-11-10 19:30:00,37.0,-94.4381,37.0006,-94.4331,521.1519210695977
std,3192653850.1520185,0.10747637251433549,0.09948414644503041,17.81340614249706,,10112.976788857328,2.152603708551697,95.4266362457865,3.2106100927771504,1970.8720838711067,1.3471126775640148,70.68581537596081,1.8599312096046348,71.28937166334023,1.9783798040860276,75.75924864991907,2.729465928766219,99.17636083300508,3865.446703695725,92.89705991004665,28.42897933686827,,,0.817991306989076,1.7225984996165489,0.8195506378648048,1.7315090240026683,87.2591432551187
