BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200104,11,425,200104,11,434,1111986,5235560,OKLAHOMA,40,2001,April,Tornado,C,29,COAL,OUN,11-APR-01 04:25:00,CST,11-APR-01 04:34:00,1,0,1,0,75K,,NWS STORM SURVEY,,,,,F2,8.0,200.0,,,,,4.0,SE,COALGATE,4.0,SE,COALGATE,34.5,-96.16667,34.6,-96.1,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This tornado formed 4 miles southeast of Coalgate and tracked northeastward for 8 miles before crossing into northwest Atoka County at 0434 CST (See following entry for information about the Atoka County segment). The tornado then continued for another 5 miles before dissipating at 0440 CST. In Coal County, 1 fatalilty and injuries to another person occurred when a mobile home was thrown approximately 200 yards and disintegrated 4 miles east of Coalgate. In addition, a well-constructed frame home suffered severe roof damage and exterior wall damage in extreme eastern Coal County.",PDS
200104,11,347,200104,11,347,1111986,5235674,OKLAHOMA,40,2001,April,Tornado,C,13,BRYAN,OUN,11-APR-01 03:47:00,CST,11-APR-01 03:47:00,0,0,0,0,5K,,EMERGENCY MANAGER,,,,,F0,0.3,25.0,,,,,4.0,W,BROWN,4.0,W,BROWN,34.08333,-96.55,34.08333,-96.55,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This small and brief tornado formed about 4 miles west of Brown, close to where State Route 199 crosses Lake Texoma. Numerous trees had their tops sheared off, and others sustained limb damage.",PDS
200104,11,434,200104,11,440,1111986,5235561,OKLAHOMA,40,2001,April,Tornado,C,5,ATOKA,OUN,11-APR-01 04:34:00,CST,11-APR-01 04:40:00,0,0,0,0,6K,,NWS STORM SURVEY,,,,,F0,5.0,100.0,,,,,6.0,SE,WARDVILLE,6.0,SE,WARDVILLE,34.6,-95.96667,34.66667,-96.05,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This is the 2nd and final county segment to the tornado which formed 4 miles southeast of Coalgate in Coal County at 0425 CST, then moved into Atoka County at 0434 CST. In Atoka County, minor roof damage was sustained to a mobile home, and numerous trees were damaged.",PDS
200104,11,258,200104,11,304,1111986,5235676,OKLAHOMA,40,2001,April,Tornado,C,85,LOVE,OUN,11-APR-01 02:58:00,CST,11-APR-01 03:04:00,0,0,0,0,20K,,NWS STORM SURVEY,,,,,F1,5.0,100.0,,,,,5.0,S,THACKERVILLE,5.0,S,THACKERVILLE,33.73333,-97.15,33.78333,-97.1,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This tornado developed in Cooke County Texas at approximately 0257 CST and tracked northeastward for approximately 1 mile before crossing the Red River into Love County in Oklahoma (see National Weather Service Forth Worth, Texas stormdata for more information on the beginning portion of this tornado in Texas). In Oklahoma the most significant damage, rated F1, occurred 3 miles southeast of Thackerville where a barn was destroyed, and a mobile home was severely damaged with debris scattered for 2 miles.Note to all users: This is a greatly simplified version of the tornado path. The tornado actually crossed the state border 6 times, continuing almost due northeastward from the end point listed in this entry. The true end point is 10 miles east-southeast of Marietta, Oklahoma at 0315 CST, resulting in a total path length across Texas and Oklahoma of approximately 18 miles, with most of the damage consisting of only tree damage for the last 10 miles.",PDS
200104,11,406,200104,11,410,1111986,5236394,OKLAHOMA,40,2001,April,Tornado,C,5,ATOKA,OUN,11-APR-01 04:06:00,CST,11-APR-01 04:10:00,0,0,0,0,3K,,NWS STORM SURVEY,,,,,F0,3.0,125.0,,,,,7.0,NW,BOGGY DEPOT,7.0,NW,BOGGY DEPOT,34.36667,-96.38333,34.4,-96.35,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This is the 2nd and final county segment to the tornado which formed near northern portions of Lake Texoma in Johnston County at 0345 CST. Across Atoka County, the tornado gradually weakened, affecting mostly trees, as it slowly dissipated.",PDS
200104,11,200,200104,11,206,1111986,5236322,OKLAHOMA,40,2001,April,Tornado,C,125,POTTAWATOMIE,OUN,11-APR-01 02:00:00,CST,11-APR-01 02:06:00,0,0,0,0,40K,,NWS STORM SURVEY,,,,,F1,5.0,50.0,,,,,4.0,NW,MAUD,4.0,NW,MAUD,35.16667,-96.83333,35.23333,-96.85,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This tornado caused structural damage to oil pumping and storage equipment approximately 2 miles southwest of Harjo and structural damage to trailer homes 1 mile west of Harjo. The beginning and ending times of this tornado were listed incorrectly in the original version of storm data. The beginning time should be 0200 CST, while the ending time should be 0206 CST.",PDS
200104,11,340,200104,11,349,1111986,5236388,OKLAHOMA,40,2001,April,Tornado,C,123,PONTOTOC,OUN,11-APR-01 03:40:00,CST,11-APR-01 03:49:00,0,0,0,0,45K,,NWS STORM SURVEY,,,,,F2,5.5,400.0,,,,,3.0,WSW,JESSE,3.0,WSW,JESSE,34.56667,-96.56667,34.61667,-96.5,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This tornado formed 2.5 miles southwest of Jesse in Pontotoc County and tracked northeastward for 15 miles, crossed through northwest Coal County, then re-entered eastern Pontotoc County before dissipating. A mobile home and barn were destroyed, and power poles were downed 1.5 miles west of Jesse. The mobile home was picked up, thrown northward over a fence and completely broken apart with contents spread over a half-mile area. About 1 mile northwest of Jesse, a barn was destroyed; oil storage tanks were overturned and smashed; an oil pumping unit was overturned and torn apart; power poles were downed, and fences were blown over.",PDS
200104,11,345,200104,11,406,1111986,5236393,OKLAHOMA,40,2001,April,Tornado,C,69,JOHNSTON,OUN,11-APR-01 03:45:00,CST,11-APR-01 04:06:00,4,0,0,0,2.5M,,NWS STORM SURVEY,,,,,F2,16.0,500.0,,,,,6.0,SE,TISHOMINGO,6.0,SE,TISHOMINGO,34.16667,-96.6,34.33333,-96.4,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This tornado formed over northern portions of Lake Texoma, then tracked northeastward for 16 miles before crossing into western Atoka County. About 5 miles east of Tishomingo in Johnston County, 2 injuries, both requiring hospital care, occurred when a mobile home was lofted and deposited upside-down about 40 yards from its original location. In addition, a frame home 1 mile east of Milburn was severely damaged when the roof was completely removed. Across the remainder of the damage path in Johnston County, 3 additional mobile homes were destroyed, and 21 other structures, including 1 business and 2 churches, sustained damage.",PDS
200104,11,349,200104,11,356,1111986,5236389,OKLAHOMA,40,2001,April,Tornado,C,29,COAL,OUN,11-APR-01 03:49:00,CST,11-APR-01 03:56:00,0,0,0,0,400K,,NWS STORM SURVEY,,,,,F2,4.5,400.0,,,,,6.0,WNW,TUPELO,6.0,WNW,TUPELO,34.63333,-96.5,34.66667,-96.45,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This tornado formed in Pontotoc County and crossed into Coal County at approximately 0349 CST, then re-entered Pontotoc County at approximately 0356 CST. Nineteen power transmission towers, 3 for major trunk power lines, were downed across this area.",PDS
200104,11,356,200104,11,403,1111986,5236390,OKLAHOMA,40,2001,April,Tornado,C,123,PONTOTOC,OUN,11-APR-01 03:56:00,CST,11-APR-01 04:03:00,0,0,0,0,70K,,NWS STORM SURVEY,,,,,F2,4.5,400.0,,,,,3.0,SW,LULA,3.0,SW,LULA,34.66667,-96.46667,34.73333,-96.41667,"Six tornadoes across southern Oklahoma and one tornado across western north Texas developed during the overnight hours of the 11th. The most notable tornado formed across Coal County in Oklahoma and resulted in one fatality and one injury as it destroyed a mobile home.  In addition to damage produced by severe thunderstorms, sustained winds of 40 to 50 mph with gusts as high as 73 mph developed just ahead of the most frequent period of severe weather and persisted for several hours. In Tillman County, at 2330 CST on the 10th, a barn roof was damaged 3 miles east of Frederick. A barn roof was blown off, and a fence was downed 4 miles east of Frederick, and a house roof sustained minor damage 4 miles north of Frederick. Trees and power lines were downed in Ponca City in Kay County, while in Garfield County, minor but widespread damage, was sustained to trees, power poles, and numerous other structures.","This is the 3rd and final segment to the tornado which formed in Pontotoc County at 0340 CST, moved through Coal County, then re-entered Pontotoc County at 0356 CST. Several additional power transmission towers were downed across this area, along with substantial damage to a power substation about 1 mile southwest of Lula.",PDS
