BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200803,27,1732,200803,27,1732,14442,88558,OKLAHOMA,40,2008,March,Tornado,C,101,MUSKOGEE,TSA,27-MAR-08 17:32:00,CST-6,27-MAR-08 17:32:00,0,0,0,0,125.00K,0.00K,NWS Storm Survey,,,,,EF0,0.1,100.0,TSA,OK,91.0,MCINTOSH,0.0,N,COUNCIL HILL,0.0,N,COUNCIL HILL,35.55,-95.65,35.55,-95.65,Severe thunderstorms occurred across a large part of Eastern Oklahoma on the evening of March 27th.,"A tornado developed in Council Hill and moved east southeast, dissipating over open country in McIntosh County.  The tornado damaged the roof of a church, damaged the roofs of several homes, and caused tree damage in Council Hill.",CSV
200803,27,1732,200803,27,1734,14442,88561,OKLAHOMA,40,2008,March,Tornado,C,91,MCINTOSH,TSA,27-MAR-08 17:32:00,CST-6,27-MAR-08 17:34:00,0,0,0,0,5.00K,0.00K,NWS Storm Survey,,,,,EF0,0.9,100.0,,,,,5.0,NNE,RICHARDSVILLE,5.0,NNE,RICHARDSVILLE,35.5519,-95.6484,35.546,-95.6341,Severe thunderstorms occurred across a large part of Eastern Oklahoma on the evening of March 27th.,The tornado that began in Council Hill in extreme southern Muskogee County moved southeast over open country of McIntosh County and dissipated about a mile southeast of town.  Minor roof damage to a home as well as some tree damage was found in McIntosh County from this tornado.,CSV
200803,31,1831,200803,31,1841,15021,85472,OKLAHOMA,40,2008,March,Tornado,C,89,MCCURTAIN,SHV,31-MAR-08 18:31:00,CST-6,31-MAR-08 18:41:00,0,0,0,0,10.00K,0.00K,NWS Storm Survey,,,,,EF1,4.92,450.0,,,,,6.0,NNE,SLIM,7.0,SSE,ALIKCHI,34.1561,-95.047,34.1806,-94.9661,"Severe thunderstorms developed along and ahead of an approaching cold front across the middle Red River valley of northeast Texas, southeast Oklahoma as well as southwest Arkansas during the afternoon and evening hours of March 31st. These storms developed in an very unstable atmosphere and produced large hail...damaging wind gusts.  Isolated tornadoes were reported across McCurtain County, Oklahoma late in the evening.  The hail was large enough to break out automobile and home windows across the city of Texarkana, Texas close to midnight.","An EF1 tornado with winds of 100-110 mph snapped and uprooted numerous trees 19 miles northwest of Broken Bow, Oklahoma on Hwy. 3.  Two homes along Hwy. 3 also sustained minor damage as the tornado crossed Hwy. 3.  The tornado trekked mainly through forest land in a wildlife refuge area and snapped or uprooted many pines and hardwoods.",CSV
200801,7,2008,200801,7,2008,12306,78584,OKLAHOMA,40,2008,January,Tornado,C,1,ADAIR,TSA,07-JAN-08 20:08:00,CST-6,07-JAN-08 20:08:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,0.1,50.0,,,,,4.0,SW,WATTS,4.0,SW,WATTS,36.0791,-94.6207,36.0791,-94.6207,"Very moist and unstable air spread into eastern Oklahoma ahead of a strong upper level storm system and associated cold front. This moist and unstable air combined with strong wind shear that was present in the atmosphere resulted in long-lived and organized thunderstorm structures, including supercell thunderstorms. These thunderstorms developed and tracked east-northeast through the afternoon and evening hours, generally moving across the same areas over a period of several hours. These storms produced widespread severe weather, including four tornadoes in eastern Oklahoma. A line of storms then developed along the cold front and moved across eastern Oklahoma in the early morning hours of the 8th.",Multiple spotters reported a brief tornado touchdown over open country. An NWS survey team found no damage associated with the tornado.,CSV
200801,7,2338,200801,7,2338,12306,78587,OKLAHOMA,40,2008,January,Tornado,C,145,WAGONER,TSA,07-JAN-08 23:38:00,CST-6,07-JAN-08 23:38:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,0.5,75.0,,,,,2.0,NE,PORTER,2.0,NE,PORTER,35.8905,-95.4947,35.8905,-95.4947,"Very moist and unstable air spread into eastern Oklahoma ahead of a strong upper level storm system and associated cold front. This moist and unstable air combined with strong wind shear that was present in the atmosphere resulted in long-lived and organized thunderstorm structures, including supercell thunderstorms. These thunderstorms developed and tracked east-northeast through the afternoon and evening hours, generally moving across the same areas over a period of several hours. These storms produced widespread severe weather, including four tornadoes in eastern Oklahoma. A line of storms then developed along the cold front and moved across eastern Oklahoma in the early morning hours of the 8th.",An NWS survey team determined that a tornado caused extensive tree damage.,CSV
200801,7,2354,200801,7,2358,12306,78588,OKLAHOMA,40,2008,January,Tornado,C,145,WAGONER,TSA,07-JAN-08 23:54:00,CST-6,07-JAN-08 23:58:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,2.7,100.0,,,,,6.0,NE,WAGONER,8.0,NE,WAGONER,35.9063,-95.3105,35.9339,-95.2764,"Very moist and unstable air spread into eastern Oklahoma ahead of a strong upper level storm system and associated cold front. This moist and unstable air combined with strong wind shear that was present in the atmosphere resulted in long-lived and organized thunderstorm structures, including supercell thunderstorms. These thunderstorms developed and tracked east-northeast through the afternoon and evening hours, generally moving across the same areas over a period of several hours. These storms produced widespread severe weather, including four tornadoes in eastern Oklahoma. A line of storms then developed along the cold front and moved across eastern Oklahoma in the early morning hours of the 8th.",An NWS survey team determined that a tornado caused extensive tree damage.,CSV
200804,9,1810,200804,9,1810,15996,95912,OKLAHOMA,40,2008,April,Tornado,C,23,CHOCTAW,TSA,09-APR-08 18:10:00,CST-6,09-APR-08 18:10:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EF0,0.1,75.0,,,,,1.0,N,SOPER,1.0,N,SOPER,34.0445,-95.7,34.0445,-95.7,Severe thunderstorms occurred across eastern Oklahoma from the evening of the 9th into the morning of the 10th.,A brief tornado touchdown in open country was reported by a KOTV storm chaser.,CSV
200804,9,2003,200804,9,2003,15996,95914,OKLAHOMA,40,2008,April,Tornado,C,61,HASKELL,TSA,09-APR-08 20:03:00,CST-6,09-APR-08 20:03:00,0,0,0,0,1.00K,0.00K,Storm Chaser,,,,,EF0,0.1,75.0,,,,,1.0,SW,MC CURTAIN,1.0,SW,MC CURTAIN,35.1398,-94.9825,35.1398,-94.9825,Severe thunderstorms occurred across eastern Oklahoma from the evening of the 9th into the morning of the 10th.,A brief tornado touchdown was reported by a KTUL storm chaser.  Power lines were blown down by the tornado.,CSV
200804,9,2107,200804,9,2107,15996,95915,OKLAHOMA,40,2008,April,Tornado,C,79,LE FLORE,TSA,09-APR-08 21:07:00,CST-6,09-APR-08 21:07:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EF0,0.1,75.0,,,,,1.0,E,BRADEN,1.0,E,BRADEN,35.28,-94.4823,35.28,-94.4823,Severe thunderstorms occurred across eastern Oklahoma from the evening of the 9th into the morning of the 10th.,Storm chasers photographed a brief tornado touchdown over open country.,CSV
200804,10,415,200804,10,417,15996,95917,OKLAHOMA,40,2008,April,Tornado,C,1,ADAIR,TSA,10-APR-08 04:15:00,CST-6,10-APR-08 04:17:00,0,0,0,0,100.00K,0.00K,NWS Storm Survey,,,,,EF2,2.75,300.0,,,,,6.0,NNW,BUNCH,7.0,N,BUNCH,35.7535,-94.8075,35.7813,-94.77,Severe thunderstorms occurred across eastern Oklahoma from the evening of the 9th into the morning of the 10th.,"An NWS storm survey determined that a strong tornado destroyed several mobile homes, caused extensive tree damage, destroyed barns and other outbuildings, and snapped power poles.",CSV
