BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202001,10,1034,202001,10,1037,144688,874056,OKLAHOMA,40,2020,January,Tornado,C,81,LINCOLN,OUN,10-JAN-20 10:34:00,CST-6,10-JAN-20 10:37:00,0,0,0,0,25.00K,0.00K,NWS Storm Survey,,,,,EF0,1.3,10.0,,,,,0.0,SW,PRAGUE,1.0,NNE,PRAGUE,35.4864,-96.6952,35.5013,-96.6814,A strong storm system brought an unseasonably warm and moist airmass into the area. Multiple reports of severe hail and flooding were received along with a tornado on the 10th.,"A small tornado developed on the west side of Prague, just south of US Highway 62 and about one-half mile west of US Highway 377. The tornado moved northeast across the west and north sides of Prague with the last damage observed just east of US-377 on the north edge of Prague. Surveillance video at the city library near the beginning of the path showed debris with a strong east wind that quickly became a west wind as the tornado passed by. A few homes received roof damage and a few sheds and other outbuildings were destroyed.",CSV
202001,10,1449,202001,10,1457,143960,867121,OKLAHOMA,40,2020,January,Tornado,C,21,CHEROKEE,TSA,10-JAN-20 14:49:00,CST-6,10-JAN-20 14:57:00,0,0,0,0,50.00K,0.00K,NWS Storm Survey,,,,,EF1,5.8,250.0,,,,,3.0,WNW,PETTIT,2.0,S,PARK HILL,35.7796,-95.0229,35.8369,-94.948,"A strong storm system and associated cold front moved into the Southern Plains on the 10th. Unseasonably warm and moist air spread northward from the Gulf of Mexico ahead of this system, resulting in weak to moderate instability developing across eastern Oklahoma and northwest Arkansas. This instability, combined with very strong wind fields and wind shear, resulted in organized severe thunderstorms. The strongest storms produced large hail up to golfball size, damaging wind, a tornado, and flash flooding.","This tornado damaged the roof of a permanent home and the roofs of two mobile homes, uprooted a number of trees, and damaged outbuildings. Based on this damage, maximum estimated wind in the tornado was 90 to 100 mph.",CSV
202001,10,1155,202001,10,1156,143960,874086,OKLAHOMA,40,2020,January,Tornado,C,97,MAYES,TSA,10-JAN-20 11:55:00,CST-6,10-JAN-20 11:56:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EFU,1.0,50.0,,,,,5.0,SE,MURPHY,5.0,ESE,MURPHY,36.0991,-95.1771,36.1163,-95.1659,"A strong storm system and associated cold front moved into the Southern Plains on the 10th. Unseasonably warm and moist air spread northward from the Gulf of Mexico ahead of this system, resulting in weak to moderate instability developing across eastern Oklahoma and northwest Arkansas. This instability, combined with very strong wind fields and wind shear, resulted in organized severe thunderstorms. The strongest storms produced large hail up to golfball size, damaging wind, a tornado, and flash flooding.","Storm chasers positioned in two different locations observed a brief tornado. The area where the tornado occurred was inaccessible by road, thus there was no known damage.",CSV
202003,19,925,202003,19,929,145629,883628,OKLAHOMA,40,2020,March,Tornado,C,107,OKFUSKEE,TSA,19-MAR-20 09:25:00,CST-6,19-MAR-20 09:29:00,0,0,0,0,30.00K,0.00K,NWS Storm Survey,,,,,EF1,2.7,225.0,,,,,2.0,SW,OKEMAH,1.0,SSW,OKEMAH ARPT,35.4043,-96.3287,35.4179,-96.2854,"Strong to severe thunderstorms developed over northwestern Texas and southwestern Oklahoma during the evening of the 18th. These storms moved northeast and affected portions of northeastern Oklahoma during the early morning hours of the 19th. Although instability had decreased ahead of these storms during the night-time hours, wind shear had strengthened significantly as these storms moved into northeast Oklahoma. As a result, one of these storms produced a tornado in Creek County. In addition, some of these thunderstorms moved repeatedly across the same areas, which resulted in locally heavy rainfall that combined with saturated soils, produced flash flooding. Another round of thunderstorms moved across northeastern Oklahoma later that morning. Another tornado developed with these thunderstorms, as well as locally damaging wind and flash flooding.||In addition to the flash flooding and severe weather, these multiple rounds of thunderstorms resulted in widespread heavy rainfall across northeastern Oklahoma. One to three inches fell across much of the area, with a heavier axis of three to six inches. This widespread heavy rainfall resulted in moderate flooding of the Caney and Neosho Rivers, and major flooding of the Illinois River.","This tornado developed south of I-40 and west of the N3760 Road. It moved east-northeast destroying a large outbuilding, damaging a home, and snapping large tree limbs as it crossed S 14th Street. Another outbuilding was destroyed east of S 14th Street, and large tree limbs were snapped as it crossed Highway 27. The tornado appeared to dissipate before crossing the N3780 Road, south of the E1100 Road. Based on this damage, maximum estimated wind in the tornado was 90 to 100 mph.",CSV
202003,19,53,202003,19,55,145629,883627,OKLAHOMA,40,2020,March,Tornado,C,37,CREEK,TSA,19-MAR-20 00:53:00,CST-6,19-MAR-20 00:55:00,0,0,0,0,35.00K,0.00K,NWS Storm Survey,,,,,EF0,0.6,75.0,,,,,2.0,S,OLIVE,2.0,SSE,OLIVE,36.0019,-96.4798,36.0082,-96.4736,"Strong to severe thunderstorms developed over northwestern Texas and southwestern Oklahoma during the evening of the 18th. These storms moved northeast and affected portions of northeastern Oklahoma during the early morning hours of the 19th. Although instability had decreased ahead of these storms during the night-time hours, wind shear had strengthened significantly as these storms moved into northeast Oklahoma. As a result, one of these storms produced a tornado in Creek County. In addition, some of these thunderstorms moved repeatedly across the same areas, which resulted in locally heavy rainfall that combined with saturated soils, produced flash flooding. Another round of thunderstorms moved across northeastern Oklahoma later that morning. Another tornado developed with these thunderstorms, as well as locally damaging wind and flash flooding.||In addition to the flash flooding and severe weather, these multiple rounds of thunderstorms resulted in widespread heavy rainfall across northeastern Oklahoma. One to three inches fell across much of the area, with a heavier axis of three to six inches. This widespread heavy rainfall resulted in moderate flooding of the Caney and Neosho Rivers, and major flooding of the Illinois River.","This tornado developed just south of Highway 33 and west of S 433rd West Avenue, where large tree limbs were snapped. It moved northeast destroying an open air barn, uprooting a tree, and damaging a home. The tornado then blew the roof from a mobile home, and blew the roof off a barn east of S 433rd West Avenue. Based on this damage, maximum estimated wind in the tornado was 80 to 85 mph.",CSV
202005,15,1832,202005,15,1832,148047,895770,OKLAHOMA,40,2020,May,Tornado,C,141,TILLMAN,OUN,15-MAY-20 18:32:00,CST-6,15-MAY-20 18:32:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EFU,0.3,50.0,,,,,4.0,E,DAVIDSON,4.0,E,DAVIDSON,34.229,-99.006,34.229,-99.006,"An outflow boundary and a dryline both led to numerous thunderstorms developing during the afternoon and evening of the 15th, with hail, wind, and a brief tornado reported.",A storm chaser photographed a tornado east of Davidson. The specific location is estimated based on the spotter's location and viewing angle and radar. No damage was reported.,CSV
202005,16,1336,202005,16,1338,147013,883973,OKLAHOMA,40,2020,May,Tornado,C,89,MCCURTAIN,SHV,16-MAY-20 13:36:00,CST-6,16-MAY-20 13:38:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EFU,1.25,20.0,,,,,6.0,SE,TOM,5.0,SE,TOM,33.6799,-94.4848,33.6885,-94.5039,"A slow moving upper level low pressure system drifted east across Central and Eastern Texas during the daytime hours of May 16th. Meanwhile, the attendant surface low pressure system over East Central Texas drifted east into Northeast Texas during the afternoon, with a southerly low level jet allowing for a warm front to mix north into East Texas, extreme Northern Louisiana, into Southern Arkansas through the evening. Although daytime heating was limited due to extensive cloud cover and periods of showers, large scale forcing and adequate low level wind shear contributed to the development of numerous low-topped supercell showers and a few thunderstorms, several of which spawned tornadoes and wall clouds across portions of extreme Northeast Texas, Southwest Arkansas, and Southeast Oklahoma throughout the afternoon and evening. As drier air began to entrain ahead of this upper low pressure system, and the warm front had shifted north into the northern sections of Southwest Arkansas by mid-evening, the tornado threat subsided considerably.","This is a continuation of the extreme Southwest Little River County, Arkansas tornado. This tornado was documented by multiple witnesses via video and pictures as it moved northwest across an open field in extreme Southeast McCurtain County before lifting. Since the NWS survey team was unable to access this area, an EF rating could not be assigned and thus, this tornado will be rated an EF-Unknown.",CSV
202005,28,1756,202005,28,1756,148080,891629,OKLAHOMA,40,2020,May,Tornado,C,113,OSAGE,TSA,28-MAY-20 17:56:00,CST-6,28-MAY-20 17:56:00,0,0,0,0,20.00K,0.00K,Broadcast Media,,,,,EF0,0.1,50.0,,,,,3.0,ENE,PRUE,3.0,ENE,PRUE,36.2497,-96.2634,36.2497,-96.2634,Rain showers and isolated thunderstorms developed on the back side of a deep low pressure system over Arkansas during the afternoon of the 28th. One of these thunderstorms produced a brief tornado in Osage County.,"A brief tornado damaged a mobile home, destroyed a carport, damaged an outbuilding, and snapped large tree limbs. Based on this damage, maximum estimated wind in the tornado was 70 to 80 mph.",CSV
202005,22,2105,202005,22,2114,147967,891652,OKLAHOMA,40,2020,May,Tornado,C,79,LE FLORE,TSA,22-MAY-20 21:05:00,CST-6,22-MAY-20 21:14:00,0,0,0,0,30.00K,0.00K,NWS Storm Survey,,,,,EF1,3.0,225.0,,,,,4.0,WNW,WHITESBORO,3.0,NNW,WHITESBORO,34.7088,-94.9425,34.7222,-94.8917,"Thunderstorms developed over western Kansas during the evening of the 21st, to the north of a low pressure system centered over the Oklahoma Panhandle. These storms moved east-southeast and organized into a squall line as they moved into eastern Oklahoma during the early morning hours of the 22nd. The strongest storms produced damaging wind. Strong to severe thunderstorms redeveloped over southeastern Oklahoma during the evening near a stationary frontal boundary, as an upper level disturbance approached the region. A strongly unstable air mass across the area combined with strong deep layer wind shear to promote the development of supercell thunderstorms, several of which produced large hail up to baseball size and tornadoes.","This tornado developed south of Highway 63, and west of Flag Lake Road, where trees were uprooted. It moved east-northeast damaging a home, destroying an outbuilding, and uprooting more hardwood trees on 374th Avenue, before crossing Highway 63. The tornado continued east-northeast, uprooting trees on Camp Tom Hale Road and Bohannon Creek Lane, and then dissipated in heavily-wooded terrain north and west of NF6027. Based on this damage, maximum estimated wind in the tornado was 90 to 100 mph.",CSV
202005,22,2058,202005,22,2102,147967,891639,OKLAHOMA,40,2020,May,Tornado,C,79,LE FLORE,TSA,22-MAY-20 20:58:00,CST-6,22-MAY-20 21:02:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,0.9,100.0,,,,,2.0,SE,TALIHINA,2.0,E,TALIHINA,34.7351,-95.0245,34.7481,-95.0219,"Thunderstorms developed over western Kansas during the evening of the 21st, to the north of a low pressure system centered over the Oklahoma Panhandle. These storms moved east-southeast and organized into a squall line as they moved into eastern Oklahoma during the early morning hours of the 22nd. The strongest storms produced damaging wind. Strong to severe thunderstorms redeveloped over southeastern Oklahoma during the evening near a stationary frontal boundary, as an upper level disturbance approached the region. A strongly unstable air mass across the area combined with strong deep layer wind shear to promote the development of supercell thunderstorms, several of which produced large hail up to baseball size and tornadoes.","This tornado developed north of Highway 63, and east of Blagg Road, where softwood trees were snapped and uprooted. The tornado moved north-northeast, crossing Green Hill Road, where hardwood trees were uprooted, and large tree limbs were snapped. It dissipated in open country south of Highway 271. Based on this damage, maximum estimated wind in the tornado was 95 to 105 mph.",CSV
