BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201605,9,1722,201605,9,1727,104767,633106,OKLAHOMA,40,2016,May,Tornado,C,13,BRYAN,OUN,09-MAY-16 17:22:00,CST-6,09-MAY-16 17:27:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF2,3.4,2500.0,TSA,OK,23.0,CHOCTAW,4.0,SE,BENNINGTON,6.0,E,BENNINGTON,33.9647,-95.9914,33.9861,-95.9379,"With the help of an upper low, storms fired along the dryline in central Oklahoma on the 9th, with some of them becoming severe.","A tornado developed southeast of Bennington, and quickly became very large as it moved east-northeast. Widespread destruction of trees was observed across eastern Bryan County. The tornado moved into Choctaw County southwest of Boswell. See the eastern Oklahoma Storm Data entry from NWS Tulsa for information about this tornado in Choctaw County.",CSV
201605,9,1633,201605,9,1634,104767,638026,OKLAHOMA,40,2016,May,Tornado,C,29,COAL,OUN,09-MAY-16 16:33:00,CST-6,09-MAY-16 16:34:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,0.46,50.0,,,,,0.0,WSW,BROMIDE,0.0,E,BROMIDE,34.419,-96.492,34.42,-96.484,"With the help of an upper low, storms fired along the dryline in central Oklahoma on the 9th, with some of them becoming severe.","The centerline of the tornado crossed into Coal County from Johnston County within the town of Bromide. Although from about 1.25 miles west of Bromide to where it dissipated just east of Bromide, the tornado moved down the Johnston-Coal county line affecting both counties. Only light tree damage was observed in and near Bromide.",CSV
201603,30,1813,201603,30,1814,104188,625852,OKLAHOMA,40,2016,March,Tornado,C,113,OSAGE,TSA,30-MAR-16 18:13:00,CST-6,30-MAR-16 18:14:00,0,0,0,0,75.00K,0.00K,NWS Storm Survey,,,,,EF1,0.8,450.0,TSA,OK,143.0,TULSA,6.0,NW,TULSA,6.0,NNW,TULSA,36.2151,-96.0151,36.218,-96.0013,"Thunderstorms developed over eastern Oklahoma during the morning hours of the 30th as a warm front moved into the region from the south. The stronger storms produced large hail. Additional thunderstorm development occurred along and ahead of a dry line over central Oklahoma during the afternoon. These storms moved eastward into northeastern Oklahoma during the late afternoon and evening. Four tornadoes, two of which were strong, hail up to golfball size, and damaging wind occurred with these storms.","This is the first segment of a three segment tornado. In Osage County, this tornado severely damaged the roof of a home, destroyed several outbuildings, destroyed farm equipment, and snapped or uprooted numerous trees. Based on this damage, maximum estimated wind in this segment of the tornado was 100 to 110 mph. The tornado continued into Tulsa County, Oklahoma.",CSV
201603,30,1814,201603,30,1839,104188,625854,OKLAHOMA,40,2016,March,Tornado,C,143,TULSA,TSA,30-MAR-16 18:14:00,CST-6,30-MAR-16 18:39:00,7,0,0,0,2.00M,0.00K,NWS Storm Survey,,,,,EF2,10.5,800.0,TSA,OK,131.0,ROGERS,1.0,E,TUL DOWNTOWN ARPK,3.0,SE,OWASSO,36.218,-96.0013,36.2358,-95.8153,"Thunderstorms developed over eastern Oklahoma during the morning hours of the 30th as a warm front moved into the region from the south. The stronger storms produced large hail. Additional thunderstorm development occurred along and ahead of a dry line over central Oklahoma during the afternoon. These storms moved eastward into northeastern Oklahoma during the late afternoon and evening. Four tornadoes, two of which were strong, hail up to golfball size, and damaging wind occurred with these storms.","This is the second segment of a three segment tornado. In Tulsa County, the tornado moved east-northeast, roughly along E 46th Street N to the west of Highway 75. It damaged more than 300 homes, and thirteen churches and businesses. Seven people were injured in north Tulsa. Numerous trees were snapped or uprooted and numerous power poles were snapped. The tornado moved east-northeast across Mohawk Park where it snapped and uprooted numerous trees. Several large, metal-framed, industrial buildings were significantly damaged north-northeast of the Tulsa International Airport on N Mingo Road. The tornado then crossed Highway 169 just south of the Bird Creek Bridge where it destroyed several barns and snapped numerous trees along E 56th Street N. Based on this damage, maximum estimated wind in this segment of the tornado was 110 to 120 mph. The tornado continued into Rogers County, Oklahoma.",CSV
201603,30,1848,201603,30,1854,104188,625859,OKLAHOMA,40,2016,March,Tornado,C,105,NOWATA,TSA,30-MAR-16 18:48:00,CST-6,30-MAR-16 18:54:00,0,0,0,0,75.00K,0.00K,NWS Storm Survey,,,,,EF1,2.7,120.0,,,,,1.0,NNW,COODYS BLUFF,3.0,ENE,COODYS BLUFF,36.7291,-95.5523,36.7408,-95.5062,"Thunderstorms developed over eastern Oklahoma during the morning hours of the 30th as a warm front moved into the region from the south. The stronger storms produced large hail. Additional thunderstorm development occurred along and ahead of a dry line over central Oklahoma during the afternoon. These storms moved eastward into northeastern Oklahoma during the late afternoon and evening. Four tornadoes, two of which were strong, hail up to golfball size, and damaging wind occurred with these storms.","This tornado destroyed a 30' by 60' metal-framed building, destroyed several wood-framed barns, damaged a couple homes, and snapped or uprooted numerous trees. It was witnessed by several storm chasers. Based on this damage, maximum estimated wind in the tornado was 100 to 110 mph.",CSV
201603,30,1839,201603,30,1855,104188,625856,OKLAHOMA,40,2016,March,Tornado,C,131,ROGERS,TSA,30-MAR-16 18:39:00,CST-6,30-MAR-16 18:55:00,0,0,0,0,750.00K,0.00K,NWS Storm Survey,,,,,EF1,8.7,800.0,,,,,5.0,NW,CATOOSA,3.0,NNE,VERDIGRIS,36.2358,-95.8153,36.2765,-95.6677,"Thunderstorms developed over eastern Oklahoma during the morning hours of the 30th as a warm front moved into the region from the south. The stronger storms produced large hail. Additional thunderstorm development occurred along and ahead of a dry line over central Oklahoma during the afternoon. These storms moved eastward into northeastern Oklahoma during the late afternoon and evening. Four tornadoes, two of which were strong, hail up to golfball size, and damaging wind occurred with these storms.","This is the third segment of a three segment tornado. In Rogers County, the tornado moved east-northeast passing across the northern portion of the Patriot Golf Club and Stone Canyon housing subdivisions. Numerous homes were damaged in this area, some severely. Several homes under construction were destroyed. The tornado crossed Highway 266 destroying a business, damaging a number of homes, destroying barns and outbuildings, and snapping or uprooting numerous trees until it dissipated north of Verdigris. Based on this damage, maximum estimated wind in this segment of the tornado was 110 to 120 mph.",CSV
201603,30,1900,201603,30,1913,104188,625864,OKLAHOMA,40,2016,March,Tornado,C,131,ROGERS,TSA,30-MAR-16 19:00:00,CST-6,30-MAR-16 19:13:00,0,0,0,0,1.00M,0.00K,NWS Storm Survey,,,,,EF2,6.4,550.0,,,,,3.0,SW,CLAREMORE,4.0,NE,TIAWAH,36.284,-95.6384,36.3134,-95.5328,"Thunderstorms developed over eastern Oklahoma during the morning hours of the 30th as a warm front moved into the region from the south. The stronger storms produced large hail. Additional thunderstorm development occurred along and ahead of a dry line over central Oklahoma during the afternoon. These storms moved eastward into northeastern Oklahoma during the late afternoon and evening. Four tornadoes, two of which were strong, hail up to golfball size, and damaging wind occurred with these storms.","This tornado damaged numerous homes east of Highway 66 and west of I-44. Some of the worst damage in the path occurred in a housing area near Highway 88 where several homes received severe damage to their roofs and wall structures. Several vehicles were rolled. The tornado moved east along the E 500 Road where trees were snapped or uprooted, homes were damaged, and barns were destroyed. The tornado then moved east-northeast toward Will Rogers Downs on Highway 20, where it turned sharply to the northeast and dissipated after damaging several large barns. Based on this damage, maximum estimated wind in the tornado was 120 to 130 mph.",CSV
201603,30,1918,201603,30,1923,104188,625873,OKLAHOMA,40,2016,March,Tornado,C,35,CRAIG,TSA,30-MAR-16 19:18:00,CST-6,30-MAR-16 19:23:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EF0,2.5,100.0,,,,,2.0,ENE,CENTRALIA,5.0,ENE,CENTRALIA,36.8151,-95.3178,36.8317,-95.2751,"Thunderstorms developed over eastern Oklahoma during the morning hours of the 30th as a warm front moved into the region from the south. The stronger storms produced large hail. Additional thunderstorm development occurred along and ahead of a dry line over central Oklahoma during the afternoon. These storms moved eastward into northeastern Oklahoma during the late afternoon and evening. Four tornadoes, two of which were strong, hail up to golfball size, and damaging wind occurred with these storms.","This tornado was witnessed by several storm chasers. An NWS ground survey conducted in the area where the tornado likely occurred, determined that it remained over open country during its lifecycle. There is no known damage from this tornado.",CSV
201604,26,1949,201604,26,1950,103927,627341,OKLAHOMA,40,2016,April,Tornado,C,109,OKLAHOMA,OUN,26-APR-16 19:49:00,CST-6,26-APR-16 19:50:00,0,0,0,0,4.00K,0.00K,Public,,,,,EF0,1.53,100.0,OUN,OK,83.0,LOGAN,5.0,NNE,ARCADIA LAKE,6.0,NNE,ARCADIA LAKE,35.71,-97.33,35.725,-97.31,"The 26th began with a few isolated storms forming out ahead of the dryline and becoming severe. Later in the afternoon, the dryline surged east and storms fired along the boundary. These storms quickly became severe and gradually merged into a line as they moved eastward through the evening.",A barn was damaged near the beginning of the tornado path. A swath of trees were damaged as the tornado moved northeast crossing into Logan County between Anderson Road and Hiwassee Road.,CSV
201604,26,1950,201604,26,1953,103927,627345,OKLAHOMA,40,2016,April,Tornado,C,83,LOGAN,OUN,26-APR-16 19:50:00,CST-6,26-APR-16 19:53:00,0,0,0,0,0.00K,0.00K,Public,,,,,EF0,2.13,100.0,,,,,9.0,SSW,MERIDIAN,7.0,SSW,MERIDIAN,35.725,-97.31,35.744,-97.28,"The 26th began with a few isolated storms forming out ahead of the dryline and becoming severe. Later in the afternoon, the dryline surged east and storms fired along the boundary. These storms quickly became severe and gradually merged into a line as they moved eastward through the evening.",This tornado moved into Logan County between Anderson Road and Hiwassee Road. It moved northeast producing additional tree damage.,CSV
201603,23,2051,201603,23,2054,104186,625789,OKLAHOMA,40,2016,March,Tornado,C,1,ADAIR,TSA,23-MAR-16 20:51:00,CST-6,23-MAR-16 20:54:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,1.8,480.0,TSA,AR,33.0,CRAWFORD,11.0,SE,STILWELL,11.0,SE,STILWELL,35.6916,-94.5042,35.7109,-94.4851,"Strong to severe thunderstorms developed along and ahead of a dry line over central Oklahoma during the late afternoon hours of the 23rd. The storms developed eastward across eastern Oklahoma and northwestern Arkansas during the evening hours. The storms produced a strong tornado, hail up to golfball size, and damaging wind across eastern Oklahoma as they moved through the region.","This is the first segment of a three segment tornado. In Adair County, this tornado snapped or uprooted numerous trees. Based on this tree damage, maximum estimated wind in this segment of the tornado was 95 to 105 mph. The tornado continued into Crawford County, Arkansas.",CSV
201604,26,2050,201604,26,2052,103927,627347,OKLAHOMA,40,2016,April,Tornado,C,123,PONTOTOC,OUN,26-APR-16 20:50:00,CST-6,26-APR-16 20:52:00,0,0,0,0,20.00K,0.00K,NWS Storm Survey,,,,,EF1,2.0,200.0,,,,,3.0,NNW,BYNG,4.0,N,BYNG,34.905,-96.693,34.913,-96.658,"The 26th began with a few isolated storms forming out ahead of the dryline and becoming severe. Later in the afternoon, the dryline surged east and storms fired along the boundary. These storms quickly became severe and gradually merged into a line as they moved eastward through the evening.","A tornado moved through far northern Pontotoc County north of Byng. A home just west of US-377 suffered significant damage and a few other buildings were damaged. The tornado may have affected portions of far southern Seminole County on the other side of the Canadian River, but this area was inaccessible to the survey team.",CSV
201605,24,1628,201605,24,1643,105521,638821,OKLAHOMA,40,2016,May,Tornado,C,37,CREEK,TSA,24-MAY-16 16:28:00,CST-6,24-MAY-16 16:43:00,0,0,0,0,750.00K,0.00K,NWS Storm Survey,,,,,EF1,8.0,900.0,,,,,5.0,E,SHAMROCK,3.0,NNE,BRISTOW,35.9085,-96.4836,35.8638,-96.3629,"Thunderstorms developed during the afternoon of May 24th along an outflow boundary from early morning storms that had settled across north central Oklahoma. The atmosphere over eastern Oklahoma had become very unstable by late afternoon as these storms moved into the area. Combined with strong wind shear, this instability supported the development of severe thunderstorms, including supercells. A couple tornadoes, hail larger than golfball size, damaging wind, and locally heavy rainfall occurred with these storms as they affected the region into the early morning hours of the 25th.","This tornado developed northwest of the intersection of Highway 16 and S 433rd West Avenue, where trees were snapped. A home was severely damaged, multiple outbuildings were destroyed, and trees were snapped south of Highway 16 as the tornado tracked to the southeast. Multiple homes were damaged, outbuildings were destroyed, and numerous trees were snapped or uprooted along W 201st Street S and Highway 16. The tornado then turned sharply to the east and crossed Highway 48 north of Bristow, where large tree limbs were snapped. The tornado dissipated between I-44 and the S 337th West Avenue. Based on this damage, maximum estimated wind in the tornado was 100 to 110 mph.",CSV
