,Station 72353013967,Station 99999903948,Station 72354099999,Station 72357003948,Station 72354013919,Station 72354403954,Station 99999903954,Station 72354499999,Station 72357099999
STATION,246885,8487,51130,298966,158579,133769,12344,101244,104747
NAME,246885,8487,51130,298966,158579,133769,0,101244,104747
LATITUDE,246885,8487,51130,298966,158579,133769,12344,101244,104747
LONGITUDE,246885,8487,51130,298966,158579,133769,12344,101244,104747
ELEVATION,246885,8487,51130,298966,158579,133769,12344,101244,104747
DATE,246885,8487,51130,298966,158579,133769,12344,101244,104747
SOURCE,246885,8487,51130,298966,158579,133769,12344,101244,104747
REPORT_TYPE,246885,8487,51130,298966,158579,133769,12344,101244,104747
CALL_SIGN,246885,8487,51130,298966,158579,133769,12344,101244,104747
QUALITY_CONTROL,246885,8487,51130,298966,158579,133769,12344,101244,104747
AA1,161822,0,2149,7806,11607,117898,10693,8802,6604
AA2,12658,0,221,0,2969,4914,0,1311,1
AA3,953,0,0,0,283,439,0,83,0
AA4,3,0,0,0,0,0,0,0,0
AB1,186,0,0,0,0,139,69,0,0
AD1,190,0,0,0,0,139,69,0,0
AE1,191,14,0,0,5,139,69,0,0
AG1,1,0,0,0,0,0,0,0,0
AH1,167,0,0,0,0,135,68,0,0
AH2,167,0,0,0,0,135,68,0,0
AH3,167,0,0,0,0,135,66,0,0
AH4,166,0,0,0,0,135,65,0,0
AH5,166,0,0,0,0,135,64,0,0
AH6,166,0,0,0,0,135,64,0,0
AI1,167,0,0,0,0,139,67,0,0
AI2,167,0,0,0,0,139,67,0,0
AI3,167,0,0,0,0,139,67,0,0
AI4,167,0,0,0,0,139,66,0,0
AI5,167,0,0,0,0,139,66,0,0
AI6,167,0,0,0,0,139,66,0,0
AJ1,5563,0,60,0,93,2273,0,1,0
AK1,125,0,0,0,0,0,0,0,0
AL1,1328,0,0,0,0,2181,0,0,0
AM1,127,0,0,0,0,0,0,0,0
AN1,5154,0,0,0,0,2181,0,0,0
AT1,2510,162,0,1781,1948,1870,144,0,0
AT2,1849,83,0,1107,1349,1245,85,0,0
AT3,1131,29,0,497,926,681,40,0,0
AT4,525,9,0,169,523,232,10,0,0
AT5,125,5,0,46,193,67,2,0,0
AT6,45,0,0,8,68,33,0,0,0
AT7,20,0,0,1,22,13,0,0,0
AT8,5,0,0,0,10,3,0,0,0
AU1,20971,793,0,21239,34434,25388,1443,0,0
AU2,8373,78,0,2353,13121,9036,444,0,0
AU3,1749,0,0,0,2741,2229,103,0,0
AU4,55,0,0,0,24,13,1,0,0
AU5,1,0,0,0,3,0,0,0,0
AW1,20400,651,2,23578,35668,23724,1325,529,2213
AW2,8519,48,0,2284,14071,8785,390,111,0
AW3,2054,0,0,1250,3910,2431,91,0,0
AW4,459,0,0,10,1493,917,0,0,0
AW5,17,0,0,0,4,6,0,0,0
AW6,3,0,0,0,0,0,0,0,0
AW7,1,0,0,0,0,0,0,0,0
AX1,1435,0,0,0,0,1814,136,0,0
AX2,725,0,0,0,0,1005,54,0,0
AX3,184,0,0,0,0,213,10,0,0
AX4,23,0,0,0,0,21,1,0,0
AX5,3,0,0,0,0,0,0,0,0
AX6,1,0,0,0,0,0,0,0,0
CALL_SIGN.1,246885,8487,51130,298966,158579,133769,12344,101244,104747
CIG,246885,8487,51130,298966,158579,133769,12344,101244,104747
DEW,246885,8487,51130,298966,158579,133769,12344,101244,104747
ED1,2239,0,118,0,14820,0,0,0,0
EQD,99299,7827,48617,182542,60219,54312,1550,55170,97792
GA1,108010,7674,2447,159150,117984,83503,10131,3409,238
GA2,43189,597,4,31317,31314,20826,1515,1260,70
GA3,15385,225,0,13713,9435,8073,494,416,21
GA4,878,0,0,0,1023,1,0,1,0
GA5,28,0,0,0,92,0,0,0,0
GA6,0,0,0,0,6,0,0,0,0
GD1,144948,7674,40199,170720,118363,83527,10131,25949,30430
GD2,64712,597,21786,35333,31517,20829,1515,8706,8369
GD3,22912,225,7508,15620,9516,8074,493,2925,2925
GD4,1803,0,1122,0,1678,1,0,2,0
GE1,20312,0,0,29714,26628,16737,0,0,0
GF1,201059,0,49190,287101,151290,124456,0,58281,100186
GJ1,590,0,0,0,0,0,792,0,0
