,Station 72353013967,Station 99999903948,Station 72354099999,Station 72357003948,Station 72354013919,Station 72354403954,Station 99999903954,Station 72354499999,Station 72357099999
GK1,590,0,0,0,0,0,792,0,0
GP1,43848,0,43841,0,0,0,0,43848,0
GQ1,23955,0,23957,0,0,0,0,23955,0
GR1,43848,0,43841,0,0,0,0,43848,0
HL1,7,0,0,0,3,0,0,0,0
IA1,6,0,2,0,0,0,0,4,0
KA1,51616,0,12,27,14669,21636,2111,8425,32
KA2,51373,0,3,0,14609,21578,2111,8408,3
KA3,993,0,0,0,1417,1666,0,0,0
KA4,979,0,0,0,1401,1645,0,0,0
KB1,191,0,0,0,0,137,69,0,0
KB2,191,0,0,0,0,137,69,0,0
KB3,191,0,0,0,0,137,69,0,0
KC1,134,0,0,0,0,137,12,0,0
KC2,133,0,0,0,0,137,12,0,0
KD1,187,0,0,0,0,137,69,0,0
KD2,187,0,0,0,0,137,69,0,0
KE1,190,0,0,0,0,128,64,0,0
KG1,3598,0,0,0,0,0,0,0,0
KG2,3598,0,0,0,0,0,0,0,0
MA1,207279,7787,48992,296894,156404,129059,10111,58245,103251
MD1,87127,0,13750,2,35438,34973,2870,17526,1706
MF1,3555,0,0,0,0,0,0,0,0
MG1,5806,406,0,0,0,4390,2087,0,0
MH1,189,10,0,0,0,139,62,0,0
MK1,191,0,0,0,0,139,69,0,0
MV1,38,87,0,2386,1930,2515,157,0,0
MW1,74223,84,49540,572,19218,10334,28,52698,80774
MW2,11984,0,4348,3,5597,3240,0,2599,849
MW3,2959,0,443,0,1081,770,0,418,4
MW4,175,0,0,0,2,0,0,1,0
MW5,4,0,0,0,0,0,0,0,0
OC1,33329,1741,5198,75135,29192,29213,1370,8709,22575
OD1,14213,0,0,0,9658,13935,0,622,0
OE1,5815,455,0,0,183,4394,2126,0,0
OE2,5815,455,0,0,183,4394,2126,0,0
OE3,5795,0,0,0,0,4383,2095,0,0
QUALITY_CONTROL.1,246885,8487,51130,298966,158579,133769,12344,101244,104747
REM,212848,8325,49542,297185,156631,133768,12343,58995,104747
REPORT_TYPE.1,246885,8487,51130,298966,158579,133769,12344,101244,104747
RH1,3626,0,0,0,0,0,0,0,0
RH2,3626,0,0,0,0,0,0,0,0
RH3,3626,0,0,0,0,0,0,0,0
SA1,5,0,2,0,0,0,0,4,12
SLP,246885,8487,51130,298966,158579,133769,12344,101244,104747
SOURCE.1,246885,8487,51130,298966,158579,133769,12344,101244,104747
TMP,246885,8487,51130,298966,158579,133769,12344,101244,104747
UA1,4,0,2,0,0,0,0,3,12
UG1,5,0,2,0,0,0,0,4,12
VIS,246885,8487,51130,298966,158579,133769,12344,101244,104747
WA1,0,0,0,0,0,0,0,0,0
WND,246885,8487,51130,298966,158579,133769,12344,101244,104747
