STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CIG,DEW,SLP,TMP,VIS,WND
72353013967,35.3889,-97.6006,391.7,2004-05-09T11:56:00,"22000,1,9,N","+0160,1","99999,9","+0170,1","003218,1,N,1","150,1,N,0051,1"
72353013967,35.3889,-97.6006,391.7,2004-05-09T12:00:00,"22000,5,M,N","+0161,5","10131,5","+0167,5","003200,5,N,1","150,5,N,0057,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T12:14:00,"22000,1,9,N","+0170,1","99999,9","+0170,1","004828,1,N,1","150,1,N,0051,1"
72353013967,35.3889,-97.6006,391.7,2004-05-09T12:52:00,"22000,5,M,N","+0167,5","10135,5","+0183,5","009600,5,N,1","150,5,N,0067,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T13:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-09T13:52:00,"22000,5,M,N","+0167,5","10135,5","+0206,5","016000,5,N,1","160,5,N,0088,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T14:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-09T14:52:00,"22000,1,9,N","+0170,1","10140,1","+0230,1","016093,1,N,1","190,1,N,0082,1"
72353013967,35.3889,-97.6006,391.7,2004-05-09T15:00:00,"22000,5,M,N","+0167,5","10140,5","+0228,5","016000,5,N,1","190,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T15:52:00,"01433,5,M,N","+0167,5","10148,5","+0239,5","016000,5,N,1","170,5,N,0062,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T16:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
