TORNADO_BEGIN_DATE_TIME,TORNADO_END_DATE_TIME,TORNADO_BEGIN_LAT,TORNADO_BEGIN_LON,TORNADO_END_LAT,TORNADO_END_LON
2000-02-24 20:29:00,2000-02-24 20:41:00,,,,
2000-02-24 20:41:00,2000-02-24 20:49:00,,,,
2000-03-26 18:45:00,2000-03-26 18:51:00,34.85,-94.63333,34.81667,-94.6
2000-03-26 19:55:00,2000-03-26 19:55:00,34.2,-95.41667,34.2,-95.41667
2000-03-15 17:43:00,2000-03-15 17:44:00,36.85,-97.95,36.85,-97.95
2000-03-15 16:52:00,2000-03-15 16:56:00,36.81667,-98.18333,36.8,-98.15
2000-03-26 17:00:00,2000-03-26 17:00:00,35.36667,-95.26667,35.36667,-95.26667
2000-03-26 18:43:00,2000-03-26 18:43:00,34.71667,-95.85,34.71667,-95.85
2000-03-26 17:23:00,2000-03-26 17:23:00,35.3,-96.5,35.3,-96.5
2000-03-26 18:55:00,2000-03-26 18:56:00,34.53333,-95.68333,34.53333,-95.68333
2000-03-07 22:37:00,2000-03-07 22:37:00,36.5,-95.68333,36.5,-95.68333
2000-02-25 07:37:00,2000-02-25 07:37:00,36.15,-95.95,36.15,-95.95
2000-03-07 17:15:00,2000-03-07 17:19:00,35.15,-99.1,35.15,-99.06667
2000-03-07 22:25:00,2000-03-07 22:27:00,36.5,-95.88333,36.5,-95.88333
2000-03-26 16:40:00,2000-03-26 16:40:00,35.95,-95.8,35.95,-95.8
2000-03-26 16:44:00,2000-03-26 16:44:00,35.35,-95.41667,35.35,-95.41667
2000-03-07 22:10:00,2000-03-07 22:10:00,36.31667,-96.0,36.31667,-96.0
2000-03-07 22:10:00,2000-03-07 22:10:00,36.31667,-96.0,36.31667,-96.0
2000-04-23 14:08:00,2000-04-23 14:35:00,34.03333,-94.98333,34.0,-94.63333
2000-04-23 14:11:00,2000-04-23 14:25:00,34.33333,-95.65,34.31667,-95.5
2000-04-23 14:37:00,2000-04-23 14:52:00,34.3,-95.36667,34.28333,-95.21667
